setup,sl_pct,t1r,t2r,t1q_pct,time_stop,pre_n,pre_pf,pre_wr,pre_win_mo_pct,pre_top_mo_pct,post_n,post_pf,post_wr,post_net,post_win_mo_pct,post_top_mo_pct
c4b,0.05,0.5,2.5,0,14:30,1088,0.909,39.6,40.0,65.3,978,0.819,38.4,-98885.0,33.3,32.3
c4a,0.05,0.5,2.5,50,11:30,1252,0.776,54.0,36.0,23.6,1119,0.836,55.7,-59437.0,20.0,35.7
c4b,0.05,0.5,2.5,50,11:30,1088,0.93,59.7,52.0,79.3,978,0.802,55.2,-66391.0,40.0,41.8
c4a,0.05,0.5,2.5,50,13:00,1252,0.831,56.5,44.0,31.5,1119,0.896,56.5,-39148.0,20.0,86.0
c4b,0.05,0.5,2.5,50,13:00,1088,1.023,62.5,56.0,223.3,978,0.894,58.1,-36820.0,53.3,52.0
c4a,0.05,0.5,2.5,50,14:30,1252,0.878,58.1,44.0,43.7,1119,0.962,59.2,-14365.0,26.7,303.1
c4b,0.05,0.5,2.5,50,14:30,1088,1.07,62.2,52.0,72.6,978,0.882,57.6,-42931.0,40.0,38.5
c4a,0.1,0.5,1.0,0,11:30,1252,0.692,43.5,24.0,18.2,1119,0.773,47.0,-99668.0,20.0,34.2
c4b,0.1,0.5,1.0,0,11:30,1088,0.826,48.9,36.0,29.6,978,0.732,45.6,-110012.0,20.0,21.6
c4a,0.1,0.5,1.0,0,13:00,1252,0.725,44.6,28.0,19.6,1119,0.797,46.8,-93980.0,13.3,45.8
c4b,0.1,0.5,1.0,0,13:00,1088,0.843,50.3,40.0,35.7,978,0.744,47.2,-112868.0,20.0,19.3
c4a,0.1,0.5,1.0,0,14:30,1252,0.734,45.4,28.0,19.9,1119,0.842,49.6,-74403.0,20.0,61.3
c4b,0.1,0.5,1.0,0,14:30,1088,0.857,49.3,40.0,37.3,978,0.723,46.0,-130299.0,20.0,17.8
c4a,0.1,0.5,1.0,50,11:30,1252,0.741,53.8,28.0,21.5,1119,0.802,56.4,-69325.0,20.0,34.4
c4b,0.1,0.5,1.0,50,11:30,1088,0.903,61.5,48.0,50.1,978,0.767,56.2,-74690.0,26.7,23.9
c4a,0.1,0.5,1.0,50,13:00,1252,0.782,56.5,32.0,26.4,1119,0.834,57.4,-59858.0,20.0,47.0
c4b,0.1,0.5,1.0,50,13:00,1088,0.928,63.5,48.0,64.0,978,0.801,59.7,-66619.0,26.7,24.8
c4a,0.1,0.5,1.0,50,14:30,1252,0.802,58.7,44.0,29.5,1119,0.884,60.5,-42085.0,26.7,72.2
c4b,0.1,0.5,1.0,50,14:30,1088,0.942,63.2,52.0,77.1,978,0.786,59.0,-74992.0,33.3,22.6
c4a,0.1,0.5,1.5,0,11:30,1252,0.69,40.1,28.0,18.2,1119,0.77,43.8,-107268.0,13.3,36.4
c4b,0.1,0.5,1.5,0,11:30,1088,0.827,44.3,36.0,35.0,978,0.756,42.7,-104745.0,26.7,24.8
c4a,0.1,0.5,1.5,0,13:00,1252,0.734,40.1,32.0,20.4,1119,0.803,42.2,-99354.0,13.3,53.0
c4b,0.1,0.5,1.5,0,13:00,1088,0.866,45.2,40.0,46.3,978,0.79,42.8,-98123.0,20.0,22.9
c4a,0.1,0.5,1.5,0,14:30,1252,0.753,40.5,36.0,23.8,1119,0.855,44.7,-74860.0,20.0,70.6
c4b,0.1,0.5,1.5,0,14:30,1088,0.886,43.4,48.0,52.4,978,0.759,40.9,-122846.0,13.3,23.3
c4a,0.1,0.5,1.5,50,11:30,1252,0.756,53.4,32.0,22.8,1119,0.823,56.1,-62027.0,20.0,35.2
c4b,0.1,0.5,1.5,50,11:30,1088,0.934,60.6,56.0,81.3,978,0.793,55.5,-66529.0,26.7,27.7
c4a,0.1,0.5,1.5,50,13:00,1252,0.809,56.0,40.0,29.7,1119,0.869,56.7,-47438.0,26.7,62.8
c4b,0.1,0.5,1.5,50,13:00,1088,0.992,62.7,52.0,610.9,978,0.847,58.7,-51280.0,33.3,28.6
c4a,0.1,0.5,1.5,50,14:30,1252,0.842,58.1,44.0,36.5,1119,0.932,59.9,-24676.0,33.3,140.8
c4b,0.1,0.5,1.5,50,14:30,1088,1.02,62.7,56.0,242.1,978,0.838,58.2,-56842.0,33.3,24.8
c4a,0.1,0.5,2.0,0,11:30,1252,0.684,39.1,32.0,18.4,1119,0.78,42.7,-104575.0,13.3,40.9
c4b,0.1,0.5,2.0,0,11:30,1088,0.821,42.6,32.0,37.0,978,0.784,42.0,-93612.0,33.3,29.9
c4a,0.1,0.5,2.0,0,13:00,1252,0.732,38.7,36.0,20.1,1119,0.813,40.8,-96798.0,13.3,62.4
c4b,0.1,0.5,2.0,0,13:00,1088,0.893,43.3,48.0,63.1,978,0.85,41.7,-71058.0,26.7,33.7
c4a,0.1,0.5,2.0,0,14:30,1252,0.775,39.0,36.0,26.6,1119,0.871,42.9,-69188.0,20.0,91.8
c4b,0.1,0.5,2.0,0,14:30,1088,0.917,41.4,44.0,76.0,978,0.807,40.0,-99822.0,20.0,30.2
c4a,0.1,0.5,2.0,50,11:30,1252,0.755,53.2,36.0,23.1,1119,0.835,55.8,-57720.0,20.0,38.6
c4b,0.1,0.5,2.0,50,11:30,1088,0.939,60.2,56.0,93.8,978,0.814,55.4,-59896.0,33.3,32.4
c4a,0.1,0.5,2.0,50,13:00,1252,0.815,55.8,40.0,29.4,1119,0.886,56.6,-41145.0,20.0,83.5
c4b,0.1,0.5,2.0,50,13:00,1088,1.028,62.5,56.0,189.8,978,0.892,58.5,-36109.0,40.0,39.0
c4a,0.1,0.5,2.0,50,14:30,1252,0.866,57.8,44.0,41.6,1119,0.959,59.6,-14822.0,33.3,278.5
c4b,0.1,0.5,2.0,50,14:30,1088,1.062,62.2,56.0,83.0,978,0.878,58.2,-42698.0,33.3,31.0
c4a,0.1,0.5,2.5,0,11:30,1252,0.699,38.8,36.0,18.6,1119,0.786,42.3,-102662.0,13.3,38.7
c4b,0.1,0.5,2.5,0,11:30,1088,0.806,42.1,32.0,33.2,978,0.782,41.4,-95469.0,40.0,33.9
c4a,0.1,0.5,2.5,0,13:00,1252,0.731,38.2,36.0,21.8,1119,0.821,40.1,-93448.0,13.3,60.7
c4b,0.1,0.5,2.5,0,13:00,1088,0.882,42.3,44.0,55.0,978,0.877,41.2,-58929.0,33.3,41.7
c4a,0.1,0.5,2.5,0,14:30,1252,0.772,38.4,32.0,29.1,1119,0.874,42.0,-68771.0,20.0,97.5
c4b,0.1,0.5,2.5,0,14:30,1088,0.9,40.1,48.0,60.7,978,0.836,39.3,-86048.0,40.0,36.2
c4a,0.1,0.5,2.5,50,11:30,1252,0.767,53.1,36.0,23.9,1119,0.841,55.7,-55760.0,20.0,42.1
c4b,0.1,0.5,2.5,50,11:30,1088,0.933,60.1,48.0,84.7,978,0.817,55.3,-58817.0,40.0,36.8
c4a,0.1,0.5,2.5,50,13:00,1252,0.817,55.8,40.0,29.4,1119,0.897,56.3,-37415.0,20.0,100.8
c4b,0.1,0.5,2.5,50,13:00,1088,1.027,62.2,52.0,193.6,978,0.918,58.5,-27564.0,46.7,55.4
c4a,0.1,0.5,2.5,50,14:30,1252,0.869,57.8,44.0,42.4,1119,0.971,59.5,-10516.0,33.3,454.9
c4b,0.1,0.5,2.5,50,14:30,1088,1.063,62.0,52.0,80.5,978,0.905,58.2,-33305.0,33.3,41.0
c4a,0.15,0.5,1.0,0,11:30,1252,0.687,42.8,32.0,17.4,1119,0.766,46.9,-99949.0,20.0,37.0
c4b,0.15,0.5,1.0,0,11:30,1088,0.807,48.3,40.0,30.8,978,0.76,45.8,-93458.0,26.7,24.5
c4a,0.15,0.5,1.0,0,13:00,1252,0.715,44.0,36.0,17.2,1119,0.784,46.2,-98251.0,20.0,47.8
c4b,0.15,0.5,1.0,0,13:00,1088,0.834,49.8,44.0,38.3,978,0.772,47.6,-95734.0,13.3,23.4
c4a,0.15,0.5,1.0,0,14:30,1252,0.725,44.8,28.0,18.6,1119,0.822,48.8,-82956.0,13.3,58.4
c4b,0.15,0.5,1.0,0,14:30,1088,0.847,48.7,44.0,39.8,978,0.741,46.2,-117468.0,26.7,19.5
c4a,0.15,0.5,1.0,50,11:30,1252,0.732,53.0,32.0,17.3,1119,0.786,55.5,-74301.0,20.0,32.4
c4b,0.15,0.5,1.0,50,11:30,1088,0.884,60.8,40.0,44.1,978,0.803,56.6,-59738.0,40.0,28.3
c4a,0.15,0.5,1.0,50,13:00,1252,0.768,55.5,40.0,20.9,1119,0.814,56.4,-66830.0,20.0,44.1
c4b,0.15,0.5,1.0,50,13:00,1088,0.925,63.1,48.0,65.4,978,0.833,60.1,-53296.0,40.0,32.2
c4a,0.15,0.5,1.0,50,14:30,1252,0.79,57.4,40.0,23.9,1119,0.863,59.2,-49846.0,20.0,61.2
c4b,0.15,0.5,1.0,50,14:30,1088,0.94,63.0,44.0,77.9,978,0.814,59.3,-62598.0,40.0,26.4
c4a,0.15,0.5,1.5,0,11:30,1252,0.687,40.3,28.0,19.4,1119,0.766,43.8,-105021.0,13.3,38.0
c4b,0.15,0.5,1.5,0,11:30,1088,0.832,44.5,36.0,42.3,978,0.779,43.3,-89248.0,26.7,32.7
c4a,0.15,0.5,1.5,0,13:00,1252,0.723,40.2,32.0,20.2,1119,0.803,42.3,-95899.0,20.0,56.5
c4b,0.15,0.5,1.5,0,13:00,1088,0.881,45.7,48.0,60.6,978,0.807,43.5,-85694.0,20.0,24.9
c4a,0.15,0.5,1.5,0,14:30,1252,0.747,40.3,36.0,24.0,1119,0.856,44.9,-72014.0,20.0,74.4
c4b,0.15,0.5,1.5,0,14:30,1088,0.899,43.8,48.0,67.7,978,0.783,41.7,-105730.0,20.0,26.7
c4a,0.15,0.5,1.5,50,11:30,1252,0.744,52.6,36.0,18.8,1119,0.802,55.0,-68882.0,20.0,32.1
c4b,0.15,0.5,1.5,50,11:30,1088,0.916,59.8,52.0,68.2,978,0.826,55.8,-53053.0,40.0,36.8
c4a,0.15,0.5,1.5,50,13:00,1252,0.791,55.0,44.0,22.7,1119,0.851,55.9,-53627.0,26.7,57.3
c4b,0.15,0.5,1.5,50,13:00,1088,0.99,62.3,56.0,550.4,978,0.871,59.1,-41282.0,40.0,36.8
c4a,0.15,0.5,1.5,50,14:30,1252,0.826,56.8,40.0,28.1,1119,0.914,58.6,-31211.0,33.3,116.1
c4b,0.15,0.5,1.5,50,14:30,1088,1.018,62.5,48.0,296.0,978,0.866,58.4,-45341.0,40.0,31.3
c4a,0.15,0.5,2.0,0,11:30,1252,0.697,39.5,32.0,19.5,1119,0.778,43.2,-100862.0,13.3,35.6
c4b,0.15,0.5,2.0,0,11:30,1088,0.803,43.1,32.0,34.6,978,0.797,42.4,-83265.0,40.0,35.7
c4a,0.15,0.5,2.0,0,13:00,1252,0.728,39.0,36.0,21.9,1119,0.805,41.0,-97030.0,13.3,55.5
c4b,0.15,0.5,2.0,0,13:00,1088,0.88,43.8,40.0,57.0,978,0.864,42.4,-61425.0,40.0,37.2
c4a,0.15,0.5,2.0,0,14:30,1252,0.761,39.0,36.0,28.4,1119,0.862,43.2,-71512.0,20.0,78.3
c4b,0.15,0.5,2.0,0,14:30,1088,0.891,41.5,44.0,59.5,978,0.827,40.7,-86109.0,26.7,34.5
c4a,0.15,0.5,2.0,50,11:30,1252,0.751,52.5,36.0,18.6,1119,0.812,54.7,-65327.0,20.0,34.0
c4b,0.15,0.5,2.0,50,11:30,1088,0.909,59.7,52.0,61.8,978,0.843,55.7,-47961.0,40.0,41.2
c4a,0.15,0.5,2.0,50,13:00,1252,0.797,54.7,44.0,22.5,1119,0.86,55.5,-50719.0,20.0,68.9
c4b,0.15,0.5,2.0,50,13:00,1088,1.006,61.9,52.0,941.9,978,0.92,59.1,-25502.0,46.7,56.3
c4a,0.15,0.5,2.0,50,14:30,1252,0.842,56.5,40.0,29.9,1119,0.933,58.3,-24482.0,26.7,175.2
c4b,0.15,0.5,2.0,50,14:30,1088,1.035,62.0,44.0,145.0,978,0.907,58.4,-31380.0,46.7,41.8
c4a,0.15,0.5,2.5,0,11:30,1252,0.71,39.3,40.0,19.7,1119,0.773,42.6,-104228.0,13.3,41.8
c4b,0.15,0.5,2.5,0,11:30,1088,0.803,42.7,32.0,35.8,978,0.784,42.0,-89365.0,40.0,35.8
c4a,0.15,0.5,2.5,0,13:00,1252,0.734,38.7,32.0,21.6,1119,0.809,40.2,-96411.0,13.3,65.0
c4b,0.15,0.5,2.5,0,13:00,1088,0.878,42.9,44.0,57.9,978,0.87,41.8,-59774.0,33.3,41.3
c4a,0.15,0.5,2.5,0,14:30,1252,0.772,38.7,32.0,28.7,1119,0.868,42.3,-69568.0,20.0,99.4
c4b,0.15,0.5,2.5,0,14:30,1088,0.891,40.8,44.0,61.5,978,0.835,40.0,-83057.0,26.7,38.2
c4a,0.15,0.5,2.5,50,11:30,1252,0.761,52.4,44.0,18.8,1119,0.81,54.5,-66145.0,20.0,35.6
c4b,0.15,0.5,2.5,50,11:30,1088,0.911,59.7,52.0,66.1,978,0.836,55.5,-50073.0,40.0,41.8
c4a,0.15,0.5,2.5,50,13:00,1252,0.802,54.6,40.0,23.6,1119,0.867,55.4,-47994.0,20.0,81.1
c4b,0.15,0.5,2.5,50,13:00,1088,1.012,61.8,52.0,475.0,978,0.932,59.1,-21673.0,46.7,73.9
c4a,0.15,0.5,2.5,50,14:30,1252,0.853,56.5,40.0,31.3,1119,0.945,58.2,-20028.0,26.7,250.2
c4b,0.15,0.5,2.5,50,14:30,1088,1.045,62.0,44.0,119.6,978,0.921,58.4,-26899.0,33.3,52.0
c4a,0.2,0.5,1.0,0,11:30,1252,0.698,42.8,32.0,22.4,1119,0.789,47.2,-85901.0,20.0,33.6
c4b,0.2,0.5,1.0,0,11:30,1088,0.806,47.8,40.0,31.2,978,0.754,45.3,-92908.0,40.0,26.1
c4a,0.2,0.5,1.0,0,13:00,1252,0.732,44.4,36.0,22.9,1119,0.818,46.7,-79236.0,20.0,50.8
c4b,0.2,0.5,1.0,0,13:00,1088,0.837,49.4,40.0,38.3,978,0.772,47.2,-93086.0,20.0,23.2
c4a,0.2,0.5,1.0,0,14:30,1252,0.744,45.2,28.0,25.8,1119,0.858,49.5,-63697.0,26.7,65.0
c4b,0.2,0.5,1.0,0,14:30,1088,0.848,48.4,44.0,39.7,978,0.744,46.0,-113850.0,26.7,18.3
c4a,0.2,0.5,1.0,50,11:30,1252,0.74,52.2,32.0,18.9,1119,0.802,55.5,-66778.0,20.0,27.2
c4b,0.2,0.5,1.0,50,11:30,1088,0.871,58.8,44.0,44.9,978,0.803,55.8,-58470.0,33.3,31.8
c4a,0.2,0.5,1.0,50,13:00,1252,0.781,55.1,36.0,23.6,1119,0.839,56.7,-56237.0,33.3,44.2
c4b,0.2,0.5,1.0,50,13:00,1088,0.924,62.1,48.0,74.2,978,0.835,59.0,-51529.0,33.3,31.7
c4a,0.2,0.5,1.0,50,14:30,1252,0.806,57.2,32.0,27.7,1119,0.887,59.2,-40314.0,33.3,67.7
c4b,0.2,0.5,1.0,50,14:30,1088,0.94,62.4,44.0,89.9,978,0.821,58.8,-59316.0,26.7,26.5
c4a,0.2,0.5,1.5,0,11:30,1252,0.701,40.6,32.0,22.1,1119,0.773,44.2,-97000.0,13.3,36.1
c4b,0.2,0.5,1.5,0,11:30,1088,0.85,45.1,40.0,44.1,978,0.785,43.5,-83071.0,33.3,34.6
c4a,0.2,0.5,1.5,0,13:00,1252,0.746,41.3,32.0,22.7,1119,0.815,42.9,-86488.0,20.0,59.0
