month,symbol,day,med,hi,lo,hi_dev,lo_dev,bars
2026_02,INFOBEAN,2026-02-05,210.4,850.05,207.5,3.040161596958175,0.013783269961977207,375
2026_02,INFOBEAN,2026-02-06,206.5,860.45,202.7,3.1668280871670706,0.0184019370460049,375
2026_02,INFOBEAN,2026-02-19,225.0,910.95,215.4,3.0486666666666666,0.04266666666666663,375
2026_02,INFOBEAN,2026-02-20,223.5,900.75,212.6,3.030201342281879,0.048769574944071636,375
2026_02,KILITCH,2026-02-01,165.15,334.0,159.65,1.0224038752649105,0.03330305782621856,375
2026_02,KILITCH,2026-02-02,165.0,339.0,158.65,1.0545454545454547,0.038484848484848455,375
2026_02,KILITCH,2026-02-03,171.25,347.0,164.95,1.0262773722627738,0.03678832116788333,375
2026_02,KILITCH,2026-02-04,174.2,350.8,165.0,1.013777267508611,0.05281285878300801,375
2026_02,KILITCH,2026-02-05,367.65,386.95,182.65,0.0524955800353597,0.5031959744322045,375
2026_02,KILITCH,2026-02-06,357.85,374.0,178.7,0.0451306413301662,0.5006287550649714,375
2026_02,KILITCH,2026-02-19,167.2,335.0,155.55,1.0035885167464116,0.06967703349282284,375
2026_02,KILITCH,2026-02-20,313.25,324.4,155.6,0.03559457302474045,0.5032721468475658,370
2026_02,KILITCH,2026-02-26,319.725,331.95,159.1,0.038235984048791805,0.5023848619907734,372
2026_02,KILITCH,2026-02-27,324.0,332.1,160.6,0.025000000000000133,0.504320987654321,375
2026_02,RMDRIP,2026-02-01,62.07,106.43,61.77,0.714676977605929,0.004833252779120278,375
2026_02,RMDRIP,2026-02-02,107.11,107.39,62.12,0.0026141350014003972,0.42003547754644754,375
2026_02,RMDRIP,2026-02-03,108.13,108.35,63.0,0.0020345879959307034,0.4173679829834458,375
2026_02,RMDRIP,2026-02-04,63.82,109.44,63.33,0.7148229395173926,0.007677843936070183,375
2026_02,RMDRIP,2026-02-05,64.37,110.36,64.08,0.7144632592822742,0.004505204287711728,375
2026_02,RMDRIP,2026-02-06,111.21,111.49,64.52,0.0025177591943170707,0.4198363456523694,375
2026_02,RMDRIP,2026-02-19,69.75,119.6,69.24,0.714695340501792,0.00731182795698937,375
2026_02,RMDRIP,2026-02-20,120.3,120.42,69.97,0.0009975062344140806,0.4183707398171238,375
2026_02,RMDRIP,2026-02-26,78.36,78.36,45.71,0.0,0.41666666666666663,375
2026_02,RMDRIP,2026-02-27,70.53,70.53,41.14,0.0,0.4167021125762087,375
2026_02,TRENT,2026-02-19,2779.1,4176.2,2702.8,0.5027167068475407,0.02745493145262845,375
2026_02,TRENT,2026-02-20,2747.3,4124.5,2695.3,0.5012921777745423,0.018927674443999565,375
2026_02,TRENT,2026-02-27,2618.5,3929.9,2560.1,0.5008210807714342,0.022302845140347527,375
2026_02,ZFCVINDIA,2026-02-01,14821.0,15500.0,2464.0,0.045813372916807316,0.833749409621483,375
2026_02,ZFCVINDIA,2026-02-02,2515.0,15210.0,2475.0,5.047713717693837,0.015904572564612307,375
2026_02,ZFCVINDIA,2026-02-03,15133.0,15442.0,2510.0,0.02041895195929433,0.8341373157999075,375
2026_02,ZFCVINDIA,2026-02-04,15125.0,15477.0,2520.0,0.023272727272727334,0.8333884297520662,375
