signal_date,symbol,pre_anchor,move_10_30_pct,move_30_120_pct,label
2023-02-08,HDFCBANK,832.2,-0.1802451333813987,-0.13241844227759994,mpc
2023-02-08,ICICIBANK,857.95,-0.2855644268314057,-0.017533606078314116,mpc
2023-02-08,SBIN,551.7,-0.11781765452240182,-0.36294347155430545,mpc
2023-02-08,AXISBANK,882.05,-0.5725299019329918,-0.21664766248574427,mpc
2023-02-08,KOTAKBANK,355.1,-0.281610813855252,0.05648121999434866,mpc
2023-02-08,INDUSINDBK,1142.85,-0.2931268320426923,0.6494076349276078,mpc
2023-02-08,BANDHANBNK,235.95,-0.1483365119728732,1.1884550084889691,mpc
2023-02-08,IDFCFIRSTB,59.7,0.08375209380234029,0.3347280334728081,mpc
2023-02-08,FEDERALBNK,130.9,-0.19098548510313215,0.42097206276309446,mpc
2023-02-08,BANKBARODA,160.85,-0.4973577867578383,-0.4686035613870665,mpc
2023-02-08,PNB,51.6,-0.19379844961240586,0.19417475728155617,mpc
2023-02-08,CANBK,55.98,-0.44658806716684535,0.1794365691728,mpc
2023-02-08,BANKINDIA,78.5,-0.38216560509553776,-0.25575447570332843,mpc
2023-02-08,BAJFINANCE,625.5,-0.07993605115907274,0.24,mpc
2023-02-08,BAJAJFINSV,1358.5,-0.2834008097165925,0.6902151847340574,mpc
2023-02-08,CHOLAFIN,797.0,-0.5081555834378864,0.5485844000252107,mpc
2023-02-08,MUTHOOTFIN,1005.7,-0.46733618375261465,0.33966033966033743,mpc
2023-02-08,MANAPPURAM,115.6,0.21626297577854672,-0.21579628830384118,mpc
2023-02-08,LICHSGFIN,371.5,0.915208613728123,1.013603627634039,mpc
2023-02-08,SHRIRAMFIN,260.6,-0.03837298541827426,-0.211132437619966,mpc
2023-02-08,M&MFIN,260.65,0.01918281220027292,0.3068661296509441,mpc
2023-02-08,MARUTI,8742.95,0.0,0.48038705471265414,mpc
2023-02-08,M&M,1372.35,0.2513935949284108,-0.2798371856374407,mpc
2023-02-08,BAJAJ-AUTO,3856.7,0.4667202530660928,0.18840168271092425,mpc
2023-02-08,EICHERMOT,3235.8,0.16842820940725067,-0.7049749325106026,mpc
2023-02-08,HEROMOTOCO,2521.25,-0.1923648983639032,-0.6020505484024833,mpc
2023-02-08,ASHOKLEY,72.2,0.20775623268696877,-0.5528680027643282,mpc
2023-02-08,TVSMOTOR,1054.6,-0.31765598331119943,-0.36623067776455737,mpc
2023-02-08,DLF,357.9,-0.25146689019278495,0.7703081232492998,mpc
2023-02-08,GODREJPROP,1173.15,-0.30260410007247,0.9233926128591128,mpc
2023-02-08,OBEROIRLTY,825.0,0.10303030303030578,1.7376036810558846,mpc
2023-02-08,PRESTIGE,399.85,0.15005627110165456,0.2122612061430947,mpc
2023-02-08,BRIGADE,487.9,-0.05124000819840131,0.9945657746334509,mpc
2023-02-08,PHOENIXLTD,691.9,-0.5564387917329128,0.7557590291403308,mpc
2023-02-08,LODHA,496.5,-0.19133937562940354,0.23206538189889564,mpc
2023-04-06,HDFCBANK,826.8,0.24189646831156267,0.060328185328185326,mpc
2023-04-06,ICICIBANK,878.0,0.5808656036446495,-0.2717699014834081,mpc
2023-04-06,SBIN,525.9,1.0268111808328535,0.018821757952197017,mpc
2023-04-06,AXISBANK,851.7,0.5107432194434552,0.07008936393902492,mpc
2023-04-06,KOTAKBANK,349.4,0.31482541499714445,0.14265335235378032,mpc
2023-04-06,INDUSINDBK,1070.3,0.5232177894048525,1.4545961520587287,mpc
2023-04-06,BANDHANBNK,205.95,1.0924981791697013,0.48030739673390976,mpc
2023-04-06,IDFCFIRSTB,55.1,0.5444646098003578,0.0,mpc
2023-04-06,FEDERALBNK,128.1,0.195160031225605,-0.5064277366575702,mpc
2023-04-06,BANKBARODA,159.95,0.6564551422319547,-0.5279503105590027,mpc
2023-04-06,PNB,46.95,1.0649627263045793,0.10537407797681171,mpc
2023-04-06,CANBK,53.83,0.835965075236862,-0.6448047162859274,mpc
2023-04-06,BANKINDIA,77.65,0.2575660012878153,-0.770712909441226,mpc
2023-04-06,BAJFINANCE,574.0,2.264808362369338,0.6814310051107325,mpc
2023-04-06,BAJAJFINSV,1276.8,1.3980263157894846,0.6410999111729003,mpc
2023-04-06,CHOLAFIN,815.0,2.4539877300613497,-0.6586826347305389,mpc
2023-04-06,MUTHOOTFIN,981.0,0.127420998980632,1.1147874777297069,mpc
2023-04-06,MANAPPURAM,123.65,1.6174686615446827,0.875447672105049,mpc
2023-04-06,LICHSGFIN,317.95,2.1544267966661494,1.5394088669950738,mpc
2023-04-06,SHRIRAMFIN,256.65,1.4611338398597313,-0.2496159754224183,mpc
2023-04-06,M&MFIN,232.8,2.899484536082474,1.6071801294093067,mpc
2023-04-06,MARUTI,8394.8,0.4669557345023197,0.5424472373725397,mpc
2023-04-06,M&M,1154.4,0.4591129591129552,0.732948176252479,mpc
2023-04-06,BAJAJ-AUTO,4035.65,-0.04088560702737083,0.30490827962320727,mpc
2023-04-06,EICHERMOT,2958.35,-0.2416887792181483,-0.04066142586066068,mpc
2023-04-06,HEROMOTOCO,2315.7,0.4728591786500961,-0.10315260137966994,mpc
2023-04-06,ASHOKLEY,65.6,0.30487804878049213,0.07598784194528443,mpc
2023-04-06,TVSMOTOR,1080.95,0.5180628151163243,0.5936220146334772,mpc
2023-04-06,DLF,368.25,1.6700610997963279,1.014957264957268,mpc
2023-04-06,GODREJPROP,1064.05,1.2640383440627834,2.4176334106728494,mpc
