T1_entry_date,symbol,cap_segment,side,entry_hhmm,entry_ts,entry_price,intraday_ret_at_1400_pct,rvol,intraday_high_at_entry,hard_sl,t1_target,stop_distance,hit_t1,exit_ts,exit_price,exit_reason,qty,realized_pnl,fee,net_pnl
2024-10-23,NSE:AARTIIND,mid_cap,SHORT,1440,2024-10-23 14:40:00,491.8999938964844,1.8367290496826172,2.5118614036814644,500.70001220703125,500.70001220703125,489.44049392700197,8.800018310546875,False,2024-10-23 15:10:00,493.3500061035156,time_stop_1510,113,-163.85137939453125,59.1451333977666,-222.99651279229784
2025-02-04,NSE:AARTIIND,mid_cap,SHORT,1445,2025-02-04 14:45:00,457.8500061035156,1.123344898223877,1.545020028252414,462.0,463.34420617675784,455.56075607299806,5.494200073242212,False,2025-02-04 15:10:00,456.8999938964844,time_stop_1510,182,172.9022216796875,76.75436845138476,96.14785322830274
2025-04-15,NSE:AARTIIND,mid_cap,SHORT,1430,2025-04-15 14:30:00,394.8500061035156,1.9206047058105469,2.8725161788175875,401.5,401.5,392.87575607299806,6.649993896484375,False,2025-04-15 15:10:00,398.8999938964844,time_stop_1510,150,-607.4981689453125,63.20370207641601,-670.7018710217285
2025-04-22,NSE:AARTIIND,mid_cap,SHORT,1445,2025-04-22 14:45:00,435.8999938964844,2.927398681640625,1.5528501372963475,444.79998779296875,444.79998779296875,433.72049392700194,8.899993896484375,False,2025-04-22 15:10:00,434.3500061035156,time_stop_1510,112,173.5986328125,51.81417585760937,121.78445695489063
2025-05-19,NSE:AARTIIND,mid_cap,SHORT,1445,2025-05-19 14:45:00,486.1000061035156,2.686190605163574,4.934253420582986,492.25,492.25,483.66950607299805,6.149993896484375,False,2025-05-19 15:10:00,487.3500061035156,time_stop_1510,162,-202.5,75.1544564042273,-277.6544564042273
2025-08-13,NSE:AARTIIND,mid_cap,SHORT,1450,2025-08-13 14:50:00,382.20001220703125,2.7399063110351562,5.187238451498311,393.25,393.25,380.2890121459961,11.04998779296875,False,2025-08-13 15:10:00,382.70001220703125,time_stop_1510,90,-45.0,36.577571613640146,-81.57757161364015
2025-09-11,NSE:AARTIIND,mid_cap,SHORT,1445,2025-09-11 14:45:00,391.8999938964844,1.697099208831787,1.9346941688673185,399.0,399.0,389.94049392700197,7.100006103515625,False,2025-09-11 15:10:00,391.45001220703125,time_stop_1510,140,62.9974365234375,58.28569478609985,4.711741737337647
2025-02-19,NSE:AARTIPHARM,mid_cap,SHORT,1440,2025-02-19 14:40:00,809.0999755859375,1.598513126373291,3.0148847080417576,837.25,837.25,805.0544757080078,28.1500244140625,True,2025-02-19 15:00:00,807.1350185023716,breakeven_trail,35,68.77349792480538,30.068259149168945,38.70523877563644
2025-03-10,NSE:AARTIPHARM,mid_cap,SHORT,1450,2025-03-10 14:50:00,750.2000122070312,2.2956013679504395,1.815937540890653,770.0,770.0,746.4490121459961,19.79998779296875,False,2025-03-10 15:10:00,747.0,time_stop_1510,50,160.0006103515625,39.79865355148314,120.20195680007936
2025-03-13,NSE:AARTIPHARM,mid_cap,SHORT,1440,2025-03-13 14:40:00,739.3499755859375,1.7021894454956055,3.833853969997597,748.5,748.5,735.6532257080078,9.1500244140625,False,2025-03-13 15:10:00,740.8499755859375,time_stop_1510,109,-163.5,75.80501742659816,-239.30501742659817
2025-05-08,NSE:AARTIPHARM,mid_cap,SHORT,1450,2025-05-08 14:50:00,747.5999755859375,2.4121642112731934,7.282432929070195,775.0,775.0,743.8619757080078,27.4000244140625,True,2025-05-08 15:10:00,745.7309756469726,breakeven_trail,36,67.28399780273503,28.575742228709835,38.708255574025195
2025-06-03,NSE:AARTIPHARM,mid_cap,SHORT,1435,2025-06-03 14:35:00,905.75,1.186835765838623,2.9786700125470515,915.7000122070312,916.619,901.2212499999999,10.869000000000028,False,2025-06-03 15:10:00,906.0499877929688,time_stop_1510,92,-27.598876953125,76.7679894778999,-104.3668664310249
2025-06-25,NSE:AARTIPHARM,mid_cap,SHORT,1500,2025-06-25 15:00:00,866.25,1.8479466438293457,5.359783144406111,883.0,883.0,861.91875,16.75,False,2025-06-25 15:10:00,867.3499755859375,time_stop_1510,59,-64.8985595703125,54.346341447394295,-119.2449010177068
2025-07-07,NSE:AARTIPHARM,mid_cap,SHORT,1430,2025-07-07 14:30:00,901.9500122070312,1.0785341262817383,1.7943333509206987,913.9500122070312,913.9500122070312,897.4402621459961,12.0,True,2025-07-07 15:10:00,898.254822111934,time_stop_1510,83,306.70077789306436,79.43482805101488,227.26594984204948
2025-07-15,NSE:AARTIPHARM,mid_cap,SHORT,1430,2025-07-15 14:30:00,950.4500122070312,1.311802864074707,1.8231752953044158,962.9000244140625,962.9000244140625,945.6977621459961,12.45001220703125,True,2025-07-15 15:10:00,945.3238871765137,time_stop_1510,80,410.0900024414068,80.63915988233352,329.4508425590733
2025-07-23,NSE:AARTIPHARM,mid_cap,SHORT,1445,2025-07-23 14:45:00,952.5999755859375,1.9820332527160645,11.256154747948417,969.5,969.5,947.8369757080078,16.9000244140625,True,2025-07-23 15:10:00,946.6741004969709,time_stop_1510,59,349.62663024902383,59.58631167014731,290.0403185788765
2025-08-08,NSE:AARTIPHARM,mid_cap,SHORT,1500,2025-08-08 15:00:00,847.0,1.3490080833435059,3.5793991416309012,855.0499877929688,857.164,842.765,10.163999999999987,True,2025-08-08 15:10:00,842.1824877929688,time_stop_1510,98,472.11619628906317,88.0208202741866,384.0953760148766
2024-10-30,NSE:AAVAS,mid_cap,SHORT,1500,2024-10-30 15:00:00,1669.1500244140625,1.8042802810668945,2.0834288333715336,1684.6500244140625,1689.1798247070312,1660.8042742919922,20.02980029296873,True,2024-10-30 15:10:00,1661.006150251116,time_stop_1510,49,399.04983398437435,86.75747911729036,312.292354867084
2024-12-18,NSE:AAVAS,mid_cap,SHORT,1430,2024-12-18 14:30:00,1681.3499755859375,1.4954924583435059,5.456549520766774,1697.9000244140625,1701.5261752929687,1672.9432257080077,20.176199707031174,False,2024-12-18 15:10:00,1682.1500244140625,time_stop_1510,49,-39.202392578125,76.43423670581639,-115.63662928394139
