T1_entry_date,symbol,cap_segment,side,iv_rank,trigger_ts,entry_ts,entry_price,hard_sl,t1_target,t2_target,hit_t1,exit_ts,exit_price,exit_reason,stop_distance,qty,realized_pnl,fee,net_pnl
2023-04-06,NSE:ABBOTINDIA,large_cap,LONG,0.013169874479680163,2023-04-06 11:00:00,2023-04-06 11:05:00,22840.0,22611.6,23068.4,23296.800000000003,False,2023-04-06 15:10:00,22889.95,time_stop,228.40000000000146,4,199.8000000000029,79.67304803879998,120.12695196120293
2023-04-10,NSE:ABBOTINDIA,large_cap,LONG,0.00268199302236015,2023-04-10 11:00:00,2023-04-10 11:05:00,23086.0,22855.14,23316.86,23547.72,False,2023-04-10 12:30:00,22855.14,stop,230.86000000000058,4,-923.4400000000023,79.69935713136,-1003.1393571313623
2023-05-11,NSE:ABBOTINDIA,large_cap,LONG,0.14517384779937806,2023-05-11 11:00:00,2023-05-11 11:05:00,21587.25,21371.3775,21803.1225,22018.995000000003,False,2023-05-11 13:15:00,21371.3775,stop,215.8725000000013,4,-863.4900000000052,77.58948918105997,-941.0794891810652
2023-05-17,NSE:ABBOTINDIA,large_cap,SHORT,0.8200903920724922,2023-05-17 11:00:00,2023-05-17 11:05:00,21201.25,21413.2625,20989.2375,20777.225,False,2023-05-17 15:10:00,21202.75,time_stop,212.01250000000073,4,-6.0,77.29023609600002,-83.29023609600002
2023-05-22,NSE:ABBOTINDIA,large_cap,LONG,0.19155208744305333,2023-05-22 11:00:00,2023-05-22 11:05:00,21439.95,21225.5505,21654.3495,21868.749,False,2023-05-22 13:15:00,21225.5505,stop,214.39949999999953,4,-857.5979999999981,77.382127346812,-934.9801273468101
2023-05-24,NSE:ABBOTINDIA,large_cap,LONG,0.19155208744305333,2023-05-24 11:00:00,2023-05-24 11:05:00,21533.95,21318.6105,21749.289500000003,21964.629000000004,False,2023-05-24 15:10:00,21479.95,time_stop,215.33950000000186,4,-216.0,77.69993577359999,-293.6999357736
2023-06-15,NSE:ABBOTINDIA,large_cap,LONG,0.08096188418333788,2023-06-15 11:00:00,2023-06-15 11:05:00,22364.7,22141.053,22588.347,22811.994000000002,False,2023-06-15 15:10:00,22453.0,time_stop,223.64700000000084,4,353.1999999999971,79.0425675448,274.15743245519707
2023-07-06,NSE:ABBOTINDIA,large_cap,LONG,0.08040651660467175,2023-07-06 11:00:00,2023-07-06 11:05:00,23440.95,23206.5405,23675.359500000002,23909.769000000004,True,2023-07-06 15:10:00,23748.52975,time_stop,234.40950000000157,4,1230.3190000000031,100.442425794114,1129.876574205889
2023-08-21,NSE:ABBOTINDIA,large_cap,LONG,0.04009354705358111,2023-08-21 11:00:00,2023-08-21 11:05:00,23579.0,23343.21,23814.79,24050.58,False,2023-08-21 13:10:00,23343.21,stop,235.79000000000087,4,-943.1600000000035,80.39337874904002,-1023.5533787490435
2023-08-23,NSE:ABBOTINDIA,large_cap,LONG,0.06891973447335058,2023-08-23 11:00:00,2023-08-23 11:05:00,23386.95,23153.0805,23620.8195,23854.689000000002,False,2023-08-23 15:10:00,23240.0,time_stop,233.8695000000007,4,-587.8000000000029,80.2229447668,-668.0229447668029
2023-09-08,NSE:ABBOTINDIA,large_cap,LONG,0.023552445161231863,2023-09-08 11:00:00,2023-09-08 11:05:00,23042.95,22812.5205,23273.379500000003,23503.809000000005,False,2023-09-08 13:45:00,22812.5205,stop,230.429500000002,4,-921.718000000008,79.63875341809201,-1001.3567534181001
2023-10-17,NSE:ABBOTINDIA,large_cap,LONG,0.02874610968630939,2023-10-17 11:00:00,2023-10-17 11:05:00,22530.2,22304.898,22755.502,22980.804,False,2023-10-17 15:10:00,22452.0,time_stop,225.30199999999968,4,-312.8000000000029,79.0860406928,-391.8860406928029
2023-11-16,NSE:ABBOTINDIA,large_cap,LONG,0.05294726475872689,2023-11-16 11:00:00,2023-11-16 11:05:00,23068.05,22837.3695,23298.730499999998,23529.410999999996,True,2023-11-16 15:10:00,23301.49025,time_stop,230.68049999999857,4,933.7609999999986,98.66692133436598,835.0940786656327
2023-11-21,NSE:ABBOTINDIA,large_cap,LONG,0.09876984934365143,2023-11-21 11:00:00,2023-11-21 11:05:00,24066.25,23825.5875,24306.9125,24547.574999999997,False,2023-11-21 15:10:00,23925.0,time_stop,240.66249999999854,4,-565.0,81.19359279,-646.19359279
2023-12-04,NSE:ABBOTINDIA,large_cap,LONG,0.09110487507319115,2023-12-04 11:00:00,2023-12-04 11:05:00,23626.6,23390.334,23862.865999999998,24099.131999999998,False,2023-12-04 14:10:00,23390.334,stop,236.26599999999962,4,-945.0639999999985,80.46038773281597,-1025.5243877328144
