T0_session_date,sector,leader_symbol,laggard_symbol,leader_cap,laggard_cap,spread_at_entry_bps,spread_at_exit_bps,leader_entry_price,leader_exit_price,leader_qty,leader_realized_pnl,leader_fee,laggard_entry_price,laggard_exit_price,laggard_qty,laggard_realized_pnl,laggard_fee,fee_total,realized_pnl,net_pnl,exit_ts,exit_reason,hit_t1,yyyymm
2023-02-01,NSE_NIFTY_AUTO,NSE:UNOMINDA,NSE:TMPV,large_cap,unknown,176.38878410258906,222.02563420681497,498.65,498.05,100,59.99999999999659,52.971836020000005,456.0,453.264,109,-298.2239999999989,52.63472498505599,105.606561005056,-238.22400000000232,-343.8305610050583,2023-02-01 11:20:00,stop_laggard_long,False,2023-02
2023-02-02,NSE_NIFTY_AUTO,NSE:TMPV,NSE:TIINDIA,unknown,large_cap,107.18155334001112,92.17360499671479,443.4,446.06039999999996,112,-297.9647999999979,52.905658324108785,2554.6,2574.0,19,368.6000000000017,51.822553420400006,104.7282117445088,70.6352000000038,-34.09301174450499,2023-02-02 12:00:00,stop_leader_short,False,2023-02
2023-02-03,NSE_NIFTY_AUTO,NSE:TMPV,NSE:UNOMINDA,unknown,large_cap,86.74612177698937,169.326316187266,444.0,445.15,112,-128.79999999999745,52.90579222880001,483.9,480.9966,103,-299.0501999999976,52.7805442678188,105.68633649661881,-427.850199999995,-533.5365364966138,2023-02-03 13:10:00,stop_laggard_long,False,2023-02
2023-02-08,NSE_NIFTY_AUTO,NSE:TMPV,NSE:UNOMINDA,unknown,large_cap,170.86437032171054,-11.968948298959337,438.0,438.07500000000005,114,-8.549999999998704,53.0719318053,489.3,498.375,102,925.649999999999,53.637176447099996,106.7091082524,917.1000000000003,810.3908917476002,2023-02-08 14:30:00,t1_hard_time,True,2023-02
2023-02-09,NSE_NIFTY_AUTO,NSE:UNOMINDA,NSE:BAJAJ-AUTO,large_cap,unknown,248.23162958166557,273.7223753229323,527.0,528.0,94,-94.0,52.689193020000005,3851.3,3848.6,12,-32.400000000003274,49.097712712799996,101.7869057328,-126.40000000000327,-228.18690573280327,2023-02-09 14:30:00,hard_time,False,2023-02
2023-02-10,NSE_NIFTY_AUTO,NSE:SONACOMS,NSE:HEROMOTOCO,large_cap,large_cap,89.86662329212747,-43.93705270006709,471.05,465.6499999999999,106,572.4000000000036,52.8263720212,2474.2,2478.75,20,91.00000000000364,52.650556954,105.4769289752,663.4000000000073,557.9230710248073,2023-02-10 13:30:00,t2,True,2023-02
2023-02-13,NSE_NIFTY_AUTO,NSE:SONACOMS,NSE:TIINDIA,large_cap,large_cap,95.26683165175353,156.2960936607638,459.2,459.3,108,-10.800000000002456,52.713224388,2502.05,2487.0377000000003,19,-285.2336999999975,50.34201592081781,103.05524030881782,-296.03369999999995,-399.08894030881777,2023-02-13 11:25:00,stop_laggard_long,False,2023-02
2023-02-15,NSE_NIFTY_AUTO,NSE:TVSMOTOR,NSE:HEROMOTOCO,large_cap,large_cap,256.0531989631076,241.80219709349248,1110.0,1116.66,45,-299.7000000000037,53.2137547782,2440.0,2458.5,20,370.0,52.10254581999998,105.31630059819997,70.29999999999632,-35.01630059820366,2023-02-15 14:20:00,stop_leader_short,False,2023-02
2023-02-16,NSE_NIFTY_AUTO,NSE:TVSMOTOR,NSE:TIINDIA,large_cap,large_cap,284.5820273266664,307.04013173552534,1121.95,1128.6817,44,-296.19480000000203,52.591382895488806,2406.75,2415.0,20,165.0,51.26428761,103.8556705054888,-131.19480000000203,-235.05047050549084,2023-02-16 12:20:00,stop_leader_short,False,2023-02
2023-02-17,NSE_NIFTY_AUTO,NSE:TIINDIA,NSE:TVSMOTOR,large_cap,large_cap,133.3509544386302,217.3892436635283,2415.0,2420.05,20,-101.00000000000364,51.376381606,1107.5,1100.855,45,-299.0249999999992,52.77609662085,104.15247822685001,-400.0250000000028,-504.1774782268528,2023-02-17 12:40:00,stop_laggard_long,False,2023-02
2023-02-20,NSE_NIFTY_AUTO,NSE:SONACOMS,NSE:HEROMOTOCO,large_cap,large_cap,265.378146797437,325.7466451864177,473.75,476.59250000000003,105,-298.4625000000031,52.994028313275,2431.9,2432.15,20,5.0,51.69625708600001,104.69028539927501,-293.4625000000031,-398.1527853992781,2023-02-20 11:05:00,stop_leader_short,False,2023-02
2023-02-22,NSE_NIFTY_AUTO,NSE:HEROMOTOCO,NSE:TVSMOTOR,large_cap,large_cap,83.44412131283674,170.43050032642725,2415.05,2429.5403,20,-289.8059999999987,51.457008399236,1114.4,1111.4,44,-132.0,52.02883289120001,103.48584129043601,-421.8059999999987,-525.2918412904347,2023-02-22 11:40:00,stop_leader_short,False,2023-02
2023-02-27,NSE_NIFTY_AUTO,NSE:HEROMOTOCO,NSE:MOTHERSON,large_cap,large_cap,327.31867251158286,346.5623978080579,2359.9,2350.8,21,191.0999999999981,52.59020012819999,52.74,52.42356,948,-299.98512000000005,52.94555197036127,105.53575209856126,-108.88512000000196,-214.42087209856322,2023-02-27 11:20:00,stop_laggard_long,False,2023-02
2023-03-01,NSE_NIFTY_AUTO,NSE:HEROMOTOCO,NSE:TIINDIA,large_cap,large_cap,157.47906021176817,34.72704680038685,2332.4,2324.7,21,161.70000000000573,51.98881553460001,2765.0,2790.0,18,450.0,53.18478594,105.1736014746,611.7000000000057,506.52639852540574,2023-03-01 14:30:00,hard_time,False,2023-03
2023-03-02,NSE_NIFTY_AUTO,NSE:HEROMOTOCO,NSE:MOTHERSON,large_cap,large_cap,117.99421567930123,125.46997605670573,2369.85,2370.3,21,-9.45000000000573,52.896787668900004,53.97,53.94,926,-27.780000000001053,53.097508071959986,105.99429574086,-37.23000000000678,-143.22429574086678,2023-03-02 14:30:00,hard_time,False,2023-03
2023-03-03,NSE_NIFTY_AUTO,NSE:HEROMOTOCO,NSE:MOTHERSON,large_cap,large_cap,120.36532542969324,166.25634221559272,2370.65,2367.5,21,66.15000000000191,52.8827846169,53.6,53.2784,932,-299.7312000000034,52.90073663233279,105.78352124923279,-233.5812000000015,-339.3647212492343,2023-03-03 12:40:00,stop_laggard_long,False,2023-03
2023-03-14,NSE_NIFTY_AUTO,NSE:TIINDIA,NSE:M&M,large_cap,unknown,260.55529140078136,314.189741537777,2738.5,2737.0,18,27.0,52.377813954,1176.0,1168.944,42,-296.3520000000017,52.304328353088,104.682142307088,-269.3520000000017,-374.03414230708967,2023-03-14 13:05:00,stop_laggard_long,False,2023-03
2023-03-15,NSE_NIFTY_AUTO,NSE:M&M,NSE:TIINDIA,unknown,large_cap,86.25554498241317,161.4066762298372,1166.8,1173.8008,42,-294.0336000000011,52.2076472704416,2691.0,2687.0,18,-72.0,51.43430642399999,103.64195369444158,-366.0336000000011,-469.67555369444267,2023-03-15 12:05:00,stop_leader_short,False,2023-03
2023-03-17,NSE_NIFTY_AUTO,NSE:M&M,NSE:TIINDIA,unknown,large_cap,111.94503304733594,138.95602974307587,1166.75,1162.4,42,182.69999999999618,52.00451696579999,2627.35,2611.5859,19,-299.51789999999755,52.86309047763261,104.8676074434326,-116.81790000000137,-221.68550744343398,2023-03-17 11:25:00,stop_laggard_long,False,2023-03
2023-03-20,NSE_NIFTY_AUTO,NSE:MOTHERSON,NSE:TIINDIA,large_cap,large_cap,417.94991516450494,423.0221450835814,43.8,43.57,1141,262.4299999999964,53.00429037301999,2505.15,2490.1191,19,-285.58710000000383,50.40438887473739,103.40867924775739,-23.157100000007404,-126.5657792477648,2023-03-20 13:20:00,stop_laggard_long,False,2023-03
2023-03-24,NSE_NIFTY_AUTO,NSE:MOTHERSON,NSE:EXIDEIND,large_cap,large_cap,80.9440785225357,121.14322613973715,43.4,43.660399999999996,1152,-299.98079999999663,53.26361271060479,176.15,176.5,283,99.04999999999839,53.04518772969999,106.30880044030478,-200.93079999999824,-307.23960044030304,2023-03-24 12:05:00,stop_leader_short,False,2023-03
