T1_entry_date,symbol,cap_segment,side,entry_hhmm,entry_ts,entry_price,intraday_ret_pct,vol_mean_0930_1200,vol_mean_1330_1430,vol_decline_ratio,vol_util_pct_rank,intraday_high_at_entry,hard_sl,t1_target,t2_target,stop_distance,hit_t1,exit_ts,exit_price,exit_reason,qty,realized_pnl,fee,net_pnl
2023-07-31,NSE:AARTIIND,mid_cap,SHORT,14:30,2023-07-31 14:30:00,468.3500061035156,1.6715526580810547,12071.0322265625,8170.384765625,0.6768588313140228,19.033232628398792,468.5,473.9702061767578,462.72980603027344,457.10960595703125,5.620200073242188,False,2023-07-31 15:10:00,467.04998779296875,time_stop_1510,177,230.10324096679688,76.5976774796507,153.50556348714616
2024-02-14,NSE:AARTIIND,mid_cap,SHORT,14:30,2024-02-14 14:30:00,663.2000122070312,1.8740415573120117,12683.7099609375,7757.0771484375,0.6115779351883056,31.029810298102984,664.75,671.1584123535156,655.2416120605469,647.2832119140626,7.958400146484337,False,2024-02-14 15:10:00,667.0,time_stop_1510,125,-474.99847412109375,76.64593308854674,-551.6444072096405
2024-01-02,NSE:AARTIPHARM,mid_cap,SHORT,14:30,2024-01-02 14:30:00,505.25,1.9060134887695312,1990.3548583984375,767.6923217773438,0.38570625661952385,20.82191780821918,507.8999938964844,511.313,499.187,493.124,6.062999999999988,False,2024-01-02 15:10:00,502.04998779296875,time_stop_1510,164,524.802001953125,76.56470232825635,448.2372996248687
2024-01-04,NSE:AARTIPHARM,mid_cap,SHORT,14:30,2024-01-04 14:30:00,508.6000061035156,1.852405071258545,2142.709716796875,991.3846435546875,0.462677998696297,21.232876712328768,511.6000061035156,514.7032061767578,502.49680603027343,496.39360595703124,6.103200073242192,False,2024-01-04 15:10:00,508.1000061035156,time_stop_1510,163,81.5,76.60906022559288,4.890939774407116
2024-07-24,NSE:AARTIPHARM,mid_cap,SHORT,14:30,2024-07-24 14:30:00,581.9500122070312,1.8730878829956055,1441.51611328125,527.6923217773438,0.36606758461838107,32.81452658884565,583.5,588.9334123535157,574.9666120605468,567.9832119140624,6.983400146484428,False,2024-07-24 15:10:00,579.8499755859375,time_stop_1510,143,300.30523681640625,76.70680485076892,223.59843196563733
2024-08-19,NSE:AARTIPHARM,mid_cap,SHORT,14:30,2024-08-19 14:30:00,595.75,1.7072081565856934,1090.8709716796875,379.9230651855469,0.34827497939610014,19.509043927648577,598.2999877929688,602.899,588.601,581.452,7.149000000000001,False,2024-08-19 15:10:00,597.3499755859375,time_stop_1510,139,-222.3966064453125,76.59670647665405,-298.99331292196655
2024-01-20,NSE:AAVAS,mid_cap,SHORT,14:30,2024-01-20 14:30:00,1520.449951171875,1.6207695007324219,1141.3548583984375,201.76922607421875,0.176780450522937,15.680880330123797,1540.0,1547.6999999999998,1493.1999023437502,1465.9498535156254,27.250048828124818,False,2024-01-20 15:10:00,1524.4000244140625,time_stop_1510,36,-142.20263671875,58.23421337050489,-200.4368500892549
2024-04-19,NSE:AAVAS,mid_cap,SHORT,14:30,2024-04-19 14:30:00,1553.5999755859375,1.9690155982971191,2300.806396484375,1550.6922607421875,0.6739777249887867,22.3841059602649,1564.4000244140625,1572.2431752929688,1534.9567758789062,1516.313576171875,18.643199707031272,False,2024-04-19 15:10:00,1549.5999755859375,time_stop_1510,53,212.0,76.40121339849267,135.59878660150733
2024-05-10,NSE:AAVAS,mid_cap,SHORT,14:30,2024-05-10 14:30:00,1578.1500244140625,1.763606071472168,1353.6451416015625,865.1538696289062,0.6391290028975402,16.026490066225165,1591.5,1599.4574999999998,1556.8425488281252,1535.535073242188,21.307475585937254,False,2024-05-10 15:10:00,1595.1500244140625,time_stop_1510,46,-782.0,73.01025354927052,-855.0102535492705
2024-10-23,NSE:AAVAS,mid_cap,SHORT,14:30,2024-10-23 14:30:00,1681.0,1.810920238494873,1347.3226318359375,758.3076782226562,0.5628256071000185,13.88888888888889,1717.4000244140625,1725.9870245361326,1636.0129754638674,1591.0259509277348,44.987024536132594,False,2024-10-23 15:10:00,1680.0999755859375,time_stop_1510,22,19.800537109375,39.296569318858886,-19.496032209483886
