T1_entry_date,symbol,cap_segment,side,open_0915,close_1100,vwap_1100,intraday_pct,gap_pct,g3_bars_above,vol_median_20d,entry_ts,entry_price,entry_vwap,hard_sl,exit_ts,exit_price,exit_reason,stop_distance,qty,realized_pnl,fee,net_pnl,ym
2023-01-31,NSE:ABCAPITAL,large_cap,LONG,136.15,139.85,137.87311338082048,2.717590892398092,0.03673769287289019,16,2059521.0,2023-01-31 11:05:00,139.85,137.91534495580277,136.81202219615633,2023-01-31 14:00:00,140.25,hard_exit_1400,3.03797780384366,329,131.60000000000187,48.9850799774,82.61492002260186,2023-01
2023-01-31,NSE:ARVINDFASN,mid_cap,LONG,304.0,314.6,309.8527760785629,3.486842105263155,0.0493664637156499,16,113892.5,2023-01-31 11:05:00,314.65,309.95239620517765,307.47277703553624,2023-01-31 14:00:00,317.9,hard_exit_1400,7.177222964463738,139,451.75,46.7732727767,404.97672722330003,2023-01
2023-01-31,NSE:CAPACITE,small_cap,LONG,143.0,146.6,145.3239558144647,2.5174825174825166,0.8818342151675429,18,206328.0,2023-01-31 11:05:00,146.6,145.33717457411487,144.17447717752194,2023-01-31 14:00:00,147.0,hard_exit_1400,2.425522822478058,412,164.80000000000234,64.2986982592,100.50130174080235,2023-01
2023-01-31,NSE:CLSEL,small_cap,LONG,125.05,129.8,127.86929791053896,3.7984806077569155,-0.43789808917197304,15,105325.0,2023-01-31 11:05:00,129.8,127.94310475076458,126.91955991275846,2023-01-31 14:00:00,130.0,hard_exit_1400,2.8804400872415528,347,69.39999999999606,47.91420374360001,21.485796256396043,2023-01
2023-01-31,NSE:COROMANDEL,large_cap,LONG,863.1,887.55,875.3333298804735,2.8328119568995502,0.41884816753927634,18,256768.5,2023-01-31 11:05:00,887.55,876.1662791752005,869.156948941799,2023-01-31 14:00:00,891.1,hard_exit_1400,18.393051058200967,54,191.70000000000368,51.0610922226,140.6389077774037,2023-01
2023-01-31,NSE:CUB,mid_cap,LONG,153.1,156.6,154.52517187905505,2.286087524493796,0.5582922824302061,18,2172021.0,2023-01-31 11:05:00,156.7,154.54461199302278,153.30825509707861,2023-01-31 14:00:00,158.9,hard_exit_1400,3.391744902921374,294,646.800000000005,49.3783976784,597.421602321605,2023-01
2023-01-31,NSE:DALBHARAT,large_cap,LONG,1726.6,1762.7,1739.4305694958032,2.090814317155121,0.526913335856305,14,190175.5,2023-01-31 11:05:00,1762.7,1739.762288946407,1725.8441906348357,2023-01-31 14:00:00,1764.05,hard_exit_1400,36.855809365164305,27,36.449999999997544,50.6056844835,-14.155684483502455,2023-01
2023-01-31,NSE:DHAMPURSUG,small_cap,LONG,212.2,218.7,214.58635693467465,3.0631479736098033,-0.8411214953271129,15,156130.0,2023-01-31 11:05:00,218.55,214.6712699304385,212.953899770995,2023-01-31 14:00:00,217.8,hard_exit_1400,5.596100229005003,178,-133.5,41.2597784418,-174.7597784418,2023-01
2023-01-31,NSE:EIHOTEL,large_cap,LONG,157.5,161.15,159.9271585135572,2.317460317460318,0.2865329512893977,18,200484.0,2023-01-31 11:05:00,161.1,159.95168375743762,158.67207028737812,2023-01-31 14:00:00,161.85,hard_exit_1400,2.427929712621875,411,308.25,70.56872782469999,237.68127217530002,2023-01
2023-01-31,NSE:ELECTCAST,mid_cap,LONG,35.7,36.6,36.35888667300632,2.5210084033613356,-0.27932960893852776,18,791963.0,2023-01-31 11:05:00,36.6,36.36827495226439,36.07732875264628,2023-01-31 14:00:00,36.55,hard_exit_1400,0.5226712473537205,1913,-95.65000000000816,72.0149556457,-167.66495564570818,2023-01
2023-01-31,NSE:EPL,mid_cap,LONG,152.95,156.05,153.73287372952504,2.026806145799287,0.06542361792607476,17,389071.0,2023-01-31 11:05:00,156.05,153.78889493967827,152.55858378016083,2023-01-31 14:00:00,155.5,hard_exit_1400,3.4914162198391807,286,-157.30000000000325,47.3327252398,-204.63272523980325,2023-01
2023-01-31,NSE:FILATEX,small_cap,LONG,42.7,43.65,43.10123810126182,2.2248243559718883,-0.2336448598130758,14,241789.0,2023-01-31 11:05:00,43.7,43.12132110036639,42.77635053156346,2023-01-31 14:00:00,43.65,hard_exit_1400,0.9236494684365439,1082,-54.10000000000461,50.21866485619999,-104.3186648562046,2023-01
2023-01-31,NSE:FINCABLES,mid_cap,LONG,535.5,549.45,540.3816822011397,2.6050420168067356,-0.03733432891545041,18,154105.0,2023-01-31 11:05:00,549.6,540.5477054617622,536.2233238180681,2023-01-31 14:00:00,550.9,hard_exit_1400,13.376676181931884,74,96.19999999999663,43.286692422,52.91330757799663,2023-01
2023-01-31,NSE:GAIL,large_cap,LONG,88.5,91.9,90.93557034227754,3.8418079096045332,-1.062045835662384,18,9537569.0,2023-01-31 11:05:00,91.9,90.95033516251941,90.22273248121925,2023-01-31 12:50:00,90.22273248121925,vwap_stop,1.6772675187807522,596,-999.6514411933283,57.57158155650994,-1057.2230227498383,2023-01
2023-01-31,NSE:GMRAIRPORT,large_cap,LONG,37.4,38.15,37.61229580911894,2.0053475935828846,1.08108108108107,17,7896219.5,2023-01-31 11:05:00,38.15,37.62108007078638,37.32011143022009,2023-01-31 14:00:00,38.35,hard_exit_1400,0.8298885697799108,1204,240.80000000000342,48.972169036,191.82783096400343,2023-01
2023-01-31,NSE:GODFRYPHLP,large_cap,LONG,615.0,635.0,630.6521819526628,3.2520325203251987,0.4901960784313708,17,384544.0,2023-01-31 11:05:00,635.0,630.8149520432304,625.7684324268845,2023-01-31 14:00:00,640.0,hard_exit_1400,9.231567573115512,108,540.0,71.68820620000001,468.3117938,2023-01
2023-01-31,NSE:GSFC,unknown,LONG,126.0,128.9,127.97724802179502,2.3015873015873156,0.31847133757962887,17,2332587.0,2023-01-31 11:05:00,128.95,127.98393673491266,126.96006524103336,2023-01-31 14:00:00,128.4,hard_exit_1400,1.9899347589666263,502,-276.09999999999144,68.62181071819998,-344.7218107181914,2023-01
2023-01-31,NSE:HGINFRA,mid_cap,LONG,635.0,648.2,643.315357204705,2.07874015748033,1.0261713467504707,18,190753.5,2023-01-31 11:05:00,648.2,643.5098107514063,638.3617322653951,2023-01-31 14:00:00,663.75,hard_exit_1400,9.838267734604983,101,1570.5499999999954,70.4560312717,1500.0939687282953,2023-01
2023-01-31,NSE:HUDCO,large_cap,LONG,46.6,47.7,47.01271511652719,2.3605150214592197,0.4310344827586299,16,3757047.0,2023-01-31 11:05:00,47.7,47.04090485378996,46.66457761495964,2023-01-31 14:00:00,47.6,hard_exit_1400,1.0354223850403628,965,-96.50000000000136,48.85987208700001,-145.35987208700138,2023-01
2023-01-31,NSE:IRCON,mid_cap,LONG,58.3,59.5,58.84353282376317,2.0583190394511286,0.7778738115816752,18,6396873.0,2023-01-31 11:05:00,59.5,58.847053354086626,58.37627692725393,2023-01-31 14:00:00,59.7,hard_exit_1400,1.123723072746067,889,177.8000000000025,56.3320141328,121.46798586720251,2023-01
2023-01-31,NSE:IRFC,large_cap,LONG,31.55,32.55,31.950105097538533,3.1695721077654504,1.1217948717948678,18,37596999.0,2023-01-31 11:05:00,32.5,31.96232607314813,31.706627464562946,2023-01-31 14:00:00,32.7,hard_exit_1400,0.7933725354370544,1260,252.00000000000358,43.68378571199999,208.3162142880036,2023-01
2023-01-31,NSE:JKLAKSHMI,mid_cap,LONG,722.55,742.4,736.7155742539221,2.747214725624536,0.3193335647344586,18,304612.0,2023-01-31 11:05:00,742.4,736.8192729045335,730.9247187212972,2023-01-31 14:00:00,739.0,hard_exit_1400,11.475281278702823,87,-295.799999999998,68.45602381079999,-364.256023810798,2023-01
2023-01-31,NSE:JSL,large_cap,LONG,251.75,256.95,254.60898161639054,2.0655412115193617,-0.9053335957488695,14,995192.0,2023-01-31 11:05:00,256.95,254.66857873754037,252.63123010764005,2023-01-31 14:00:00,254.55,hard_exit_1400,4.3187698923599385,231,-554.3999999999947,62.728089039000004,-617.1280890389947,2023-01
2023-01-31,NSE:MANALIPETC,small_cap,LONG,75.75,77.4,76.55811872848459,2.17821782178218,0.5308560053085776,15,165596.0,2023-01-31 11:05:00,77.4,76.58194745952694,75.96929187985073,2023-01-31 14:00:00,77.55,hard_exit_1400,1.4307081201492764,698,104.69999999999405,57.485786070599985,47.21421392939406,2023-01
2023-01-31,NSE:MOTHERSON,large_cap,LONG,49.0,50.47,49.97339679496742,3.0000000000000027,0.5334427574887224,18,13027064.5,2023-01-31 11:05:00,50.44,49.98856057195471,49.58865208737907,2023-01-31 14:00:00,50.4,hard_exit_1400,0.8513479126209305,1174,-46.959999999999,62.90595014095999,-109.86595014095899,2023-01
