T0_signal_date,symbol,bare_symbol,cap_segment,side,news_status,gap_pct,pdc,open_09_15,low_09_15,vol_09_15,adv_20d_cr,confirmation_ts,confirmation_hhmm,lower_wick_ratio,body_size_pct,entry_ts,entry_price,hard_sl,atr_proxy,t1_target,t2_target,hit_t1,exit_ts,exit_price,exit_reason,stop_distance,qty,realized_pnl,fee,net_pnl,_month
2024-08-05,NSE:AADHARHFC,AADHARHFC,large_cap,LONG,uncovered,-2.821021630922241,427.15,415.1000061035156,410.20001220703125,32686.0,56.43419332075,2024-08-05 09:15:00,09:15,9.79998779296875,0.1204528957605362,2024-08-05 09:20:00,415.0,409.1745121765137,2.3013339042663574,421.075,427.15,False,2024-08-05 09:20:00,409.1745121765137,stop,5.825487823486299,171,-996.158417816157,72.09293167376913,-1068.251349489926,2024-08
2023-03-22,NSE:AARTIDRUGS,AARTIDRUGS,unknown,LONG,uncovered,-2.0506760169719853,382.8,374.95001220703125,371.25,316521.0,35.43026645125,2023-03-22 09:15:00,09:15,0.880959153175354,1.1201443672180176,2023-03-22 09:20:00,379.3500061035156,370.32187500000003,1.8680016994476318,381.0750030517578,382.8,False,2023-03-22 10:15:00,376.29998779296875,time_stop,9.028131103515591,110,-335.50201416015625,44.134358250663446,-379.6363724108197,2023-03
2023-04-10,NSE:AARTIDRUGS,AARTIDRUGS,unknown,LONG,uncovered,-1.9853051704307456,387.85,380.1499938964844,375.3500061035156,117336.0,70.82562291625001,2023-04-10 09:15:00,09:15,1.0434741973876953,1.210050344467163,2023-04-10 09:20:00,384.29998779296875,374.41163108825685,2.9406673908233643,386.0749938964844,387.85,True,2023-04-10 09:20:00,386.97128410717056,t2,9.888356704711896,101,269.8009277343767,41.42535443510269,228.37557329927404,2023-04
2023-08-25,NSE:AARTIDRUGS,AARTIDRUGS,unknown,LONG,uncovered,-1.8295403837572513,560.25,550.0,549.9500122070312,20991.0,26.089238102500005,2023-08-25 09:25:00,09:25,0.800000011920929,0.22653135657310486,2023-08-25 09:30:00,552.8499755859375,548.5751371765137,1.37800133228302,556.5499877929688,560.25,False,2023-08-25 09:35:00,548.5751371765137,stop,4.274838409423751,233,-996.0373493957339,92.61850157981984,-1088.6558509755537,2023-08
2023-10-20,NSE:AARTIDRUGS,AARTIDRUGS,unknown,LONG,uncovered,-2.7522935779816518,545.0,530.0,528.0999755859375,68067.0,18.756900231000003,2023-10-20 09:20:00,09:20,0.615404486656189,0.4838063716888428,2023-10-20 09:25:00,539.3499755859375,526.7797256469727,1.9980045557022095,542.1749877929688,545.0,False,2023-10-20 10:15:00,532.6500244140625,time_stop,12.570249938964821,79,-529.296142578125,44.9454887523164,-574.2416313304414,2023-10
2024-07-29,NSE:AARTIDRUGS,AARTIDRUGS,unknown,LONG,uncovered,-3.550408202012539,526.7,508.0,508.0,16430.0,10.467292079000005,2024-07-29 09:25:00,09:25,0.6000162959098816,0.29047247767448425,2024-07-29 09:30:00,517.9000244140625,506.73,1.813336968421936,522.3000122070313,526.7,False,2024-07-29 10:15:00,517.2000122070312,time_stop,11.170024414062482,89,-62.30108642578125,48.9483418158927,-111.24942824167394,2024-07
2024-10-25,NSE:AARTIDRUGS,AARTIDRUGS,unknown,LONG,uncovered,-2.8665704268921384,484.9,471.0,466.1000061035156,18962.0,7.269102874000004,2024-10-25 09:15:00,09:15,1.2249984741210938,0.8492569327354431,2024-10-25 09:20:00,474.79998779296875,464.93475608825685,2.1299996376037598,479.84999389648436,484.9,False,2024-10-25 10:15:00,474.45001220703125,time_stop,9.865231704711903,101,-35.3475341796875,50.94426346674024,-86.29179764642774,2024-10
2023-08-09,NSE:AARTIIND,AARTIIND,mid_cap,LONG,uncovered,-2.301036986918142,473.7,462.79998779296875,457.8999938964844,660528.0,55.26455785575,2023-08-09 09:15:00,09:15,0.5297290682792664,1.9987035989761353,2023-08-09 09:20:00,472.04998779296875,456.7552439117432,1.8340002298355103,472.8749938964844,473.7,True,2023-08-09 09:20:00,473.2938431490385,t2,15.294743881225543,65,80.8505981445316,32.662383514457844,48.18821463007376,2023-08
2024-07-22,NSE:AARTIIND,AARTIIND,mid_cap,LONG,uncovered,-1.6757316472871857,671.35,660.0999755859375,660.0999755859375,45272.0,66.62493280625,2024-07-22 09:25:00,09:25,1.225006103515625,0.29888662695884705,2024-07-22 09:30:00,671.1500244140625,658.4497256469726,2.3680062294006348,671.2500122070312,671.35,True,2024-07-22 09:35:00,671.2000183105469,breakeven_trail,12.700298767089862,78,3.8995239257794765,55.6403925583527,-51.740868632573225,2024-07
2024-08-05,NSE:AARTIIND,AARTIIND,mid_cap,LONG,uncovered,-2.3564463705308745,738.4,721.0,721.0,75193.0,66.26682771025,2024-08-05 09:25:00,09:25,2.833367347717285,0.04160718247294426,2024-08-05 09:30:00,720.7999877929688,715.4759924411774,3.549330234527588,729.5999938964844,738.4,True,2024-08-05 10:15:00,731.7112207749311,time_stop,5.323995351791382,187,2040.4005676269574,142.81139011080478,1897.5891775161526,2024-08
2024-09-04,NSE:AARTIIND,AARTIIND,mid_cap,LONG,uncovered,-1.7814155031295174,623.1,612.0,594.4500122070312,459997.0,206.76051029849998,2024-09-04 09:25:00,09:25,3.4000244140625,0.08116883039474487,2024-09-04 09:30:00,616.8499755859375,592.9638871765137,1.7833366394042969,619.9749877929687,623.1,True,2024-09-04 09:45:00,618.3743717844893,breakeven_trail,23.88608840942379,41,62.50024414062409,26.919505837943355,35.580738302680736,2024-09
2024-11-11,NSE:AARTIIND,AARTIIND,mid_cap,LONG,uncovered,-4.099913109816343,474.4,454.95001220703125,437.45001220703125,2373685.0,79.72337903725001,2024-11-11 09:25:00,09:25,1.1551769971847534,0.6692035794258118,2024-11-11 09:30:00,436.45001220703125,432.0140154361725,2.9573311805725098,455.4250061035156,474.4,False,2024-11-11 10:00:00,432.0140154361725,stop,4.435996770858765,225,-998.099273443222,81.75612316973705,-1079.855396612959,2024-11
2024-12-19,NSE:AARTIIND,AARTIIND,mid_cap,LONG,uncovered,-1.5888072089162886,421.7,415.0,414.04998779296875,99017.0,56.423240394749996,2024-12-19 09:15:00,09:15,0.9047840237617493,0.2530091106891632,2024-12-19 09:20:00,416.29998779296875,413.01486282348634,0.9406660795211792,418.9999938964844,421.7,False,2024-12-19 10:15:00,413.45001220703125,time_stop,3.2851249694824105,304,-866.392578125,91.85429588040627,-958.2468740054063,2024-12
2023-05-15,NSE:AARTIPHARM,AARTIPHARM,mid_cap,LONG,uncovered,-7.010889514254247,408.65,380.0,376.29998779296875,69150.0,12.947850425,2023-05-15 09:15:00,09:15,1.2982470989227295,0.7500016093254089,2023-05-15 09:20:00,382.8999938964844,375.35923782348635,2.413336992263794,395.7749969482422,408.65,False,2023-05-15 09:25:00,375.35923782348635,stop,7.540756072998022,132,-995.3798016357389,53.079050920282576,-1048.4588525560214,2023-05
2024-02-28,NSE:AARTIPHARM,AARTIPHARM,mid_cap,LONG,uncovered,-1.8028520319921046,515.85,506.54998779296875,503.1499938964844,11321.0,10.86730852825,2024-02-28 09:15:00,09:15,1.9999819993972778,0.33560600876808167,2024-02-28 09:20:00,508.25,501.8921189117432,1.5700020790100098,512.05,515.85,False,2024-02-28 10:15:00,502.5,time_stop,6.357881088256818,157,-902.75,75.25285647649999,-978.0028564765,2024-02
2024-05-15,NSE:AARTIPHARM,AARTIPHARM,mid_cap,LONG,uncovered,-1.6746198192652222,618.05,607.7000122070312,595.2000122070312,239847.0,33.85451041774999,2024-05-15 09:20:00,09:20,0.537506103515625,0.6633499264717102,2024-05-15 09:25:00,606.75,593.7120121765137,2.8320083618164062,612.4,618.05,False,2024-05-15 10:15:00,599.4000244140625,time_stop,13.037987823486333,76,-558.59814453125,48.651161554508775,-607.2493060857588,2024-05
2024-07-19,NSE:AARTIPHARM,AARTIPHARM,mid_cap,LONG,uncovered,-2.672516952532908,626.75,610.0,594.5999755859375,64910.0,9.965214981249996,2024-07-19 09:25:00,09:25,1.9166864156723022,0.3017329275608063,2024-07-19 09:30:00,598.0999755859375,593.1134756469727,2.663339138031006,612.4249877929688,626.75,False,2024-07-19 09:30:00,593.1134756469727,stop,4.986499938964812,200,-997.2999877929624,89.3559797072279,-1086.6559675001904,2024-07
2024-10-03,NSE:AARTIPHARM,AARTIPHARM,mid_cap,LONG,uncovered,-2.5210084033613445,624.75,609.0,609.0,3997.0,13.309112141999996,2024-10-03 09:20:00,09:20,0.739093542098999,0.18502524495124817,2024-10-03 09:25:00,622.7000122070312,607.4775000000001,1.9140071868896484,623.7250061035156,624.75,True,2024-10-03 09:35:00,624.2453876201923,t2,15.222512207031173,65,100.44940185546875,43.08227679834215,57.3671250571266,2024-10
2024-03-05,NSE:AAVAS,AAVAS,mid_cap,LONG,uncovered,-1.8928563535700598,1431.7,1404.5999755859375,1321.0,10600228.0,25.161407652000005,2024-03-05 09:20:00,09:20,0.7468323111534119,0.29280585050582886,2024-03-05 09:25:00,1353.0,1317.6975,5.0679850578308105,1392.35,1431.7,False,2024-03-05 10:15:00,1363.4000244140625,time_stop,35.30250000000001,28,291.20068359375,40.45034767366113,250.75033592008887,2024-03
2024-08-05,NSE:AAVAS,AAVAS,mid_cap,LONG,uncovered,-2.034780949806537,1673.4,1639.3499755859375,1631.4000244140625,10056.0,37.302233434250006,2024-08-05 09:15:00,09:15,6.6245551109313965,0.07320421189069748,2024-08-05 09:20:00,1640.8499755859375,1627.3215243530274,4.237996578216553,1657.1249877929688,1673.4,True,2024-08-05 10:15:00,1655.9718994140626,time_stop,13.528451232910129,73,1103.9004394531266,128.01384659569607,975.8865928574305,2024-08
2024-10-04,NSE:AAVAS,AAVAS,mid_cap,LONG,uncovered,-1.8780926675663567,1778.4,1745.0,1739.050048828125,10246.0,65.2923132175,2024-10-04 09:15:00,09:15,0.7880678772926331,0.4326675534248352,2024-10-04 09:20:00,1751.0,1734.7024237060548,7.3073272705078125,1764.7,1778.4,True,2024-10-04 09:40:00,1771.6622950819672,t2,16.297576293945212,61,1260.4000000000042,114.3284406544,1146.071559345604,2024-10
2024-12-19,NSE:AAVAS,AAVAS,mid_cap,LONG,uncovered,-1.8634647962671211,1682.35,1651.0,1651.0,9183.0,18.04583560775,2024-12-19 09:20:00,09:20,2.7095606327056885,0.09325004369020462,2024-12-19 09:25:00,1663.800048828125,1646.8725000000002,4.062008380889893,1673.0750244140625,1682.35,True,2024-12-19 10:15:00,1669.5792244604079,time_stop,16.927548828124827,59,340.9713623046862,104.5487938698223,236.42256843486388,2024-12
2024-08-05,NSE:ABB,ABB,large_cap,LONG,uncovered,-2.3315023795818623,7578.8,7402.10009765625,7277.0498046875,21166.0,230.83998200524996,2024-08-05 09:25:00,09:25,1.060837984085083,0.20406486093997955,2024-08-05 09:30:00,7267.5498046875,7208.200733184814,39.56604766845703,7423.17490234375,7578.8,False,2024-08-05 10:15:00,7366.4501953125,time_stop,59.34907150268555,16,1582.40625,88.9126151515,1493.4936348485,2024-08
2024-07-19,NSE:ABBOTINDIA,ABBOTINDIA,large_cap,LONG,uncovered,-1.5247108178665925,28795.65,28356.599609375,28228.44921875,1292.0,43.572362654749995,2024-07-19 09:25:00,09:25,4.862548828125,0.05676979944109917,2024-07-19 09:30:00,28200.0,28097.30508041382,68.4632797241211,28497.825,28795.65,False,2024-07-19 10:15:00,28233.900390625,time_stop,102.69491958618164,9,305.103515625,137.33897418101174,167.76454144398826,2024-07
2023-11-17,NSE:ABCAPITAL,ABCAPITAL,large_cap,LONG,uncovered,-3.421633554083879,181.2,175.0,168.60000610351562,1837473.0,46.159514786749995,2023-11-17 09:25:00,09:25,1.1111186742782593,0.7913193702697754,2023-11-17 09:30:00,171.89999389648438,168.17850608825685,0.5573325753211975,176.54999694824218,181.2,False,2023-11-17 10:15:00,170.5,time_stop,3.721487808227522,268,-375.1983642578125,48.72224236988842,-423.9206066277009,2023-11
2024-08-05,NSE:ABCAPITAL,ABCAPITAL,large_cap,LONG,uncovered,-3.5871260456543332,211.59,204.0,202.5,1149271.0,102.73239057939999,2024-08-05 09:15:00,09:15,0.6607916951179504,1.1127471923828125,2024-08-05 09:20:00,206.2899932861328,201.99375,1.4068011045455933,208.93999664306642,211.59,True,2024-08-05 10:05:00,207.61499496459962,breakeven_trail,4.296243286132807,232,307.4003894042987,51.06258389407202,256.3378055102267,2024-08
2024-12-19,NSE:ABCAPITAL,ABCAPITAL,large_cap,LONG,uncovered,-2.5092953515031495,190.89,186.10000610351562,186.10000610351562,191766.0,60.37831869964999,2024-12-19 09:25:00,09:25,1.199951171875,0.1335826963186264,2024-12-19 09:30:00,187.50999450683594,185.63475608825684,0.4845328629016876,189.19999725341796,190.89,True,2024-12-19 10:15:00,188.7742043134106,time_stop,1.8752384185791016,533,673.8238269042951,106.65263057171839,567.1711963325766,2024-12
2024-10-03,NSE:ABDL,ABDL,mid_cap,LONG,uncovered,-2.0754165448699275,342.1,335.0,330.04998779296875,51613.0,34.815516445750006,2024-10-03 09:15:00,09:15,6.600016117095947,0.2238805890083313,2024-10-03 09:20:00,335.75,329.2248628234863,1.2833353281021118,338.925,342.1,True,2024-10-03 10:15:00,337.32712418300656,breakeven_trail,6.525137176513681,153,241.30000000000086,54.75115800479999,186.54884199520086,2024-10
2024-12-19,NSE:ABDL,ABDL,mid_cap,LONG,uncovered,-1.8913398814340514,393.9,386.45001220703125,382.5,57234.0,32.9645643275,2024-12-19 09:15:00,09:15,4.937590599060059,0.20700937509536743,2024-12-19 09:20:00,386.79998779296875,381.54375000000005,1.6273363828659058,390.34999389648436,393.9,True,2024-12-19 09:30:00,392.1249969482422,t2,5.2562377929687045,190,1011.7517395019499,78.75712067520894,932.994618826741,2024-12
2023-05-08,NSE:ABFRL,ABFRL,mid_cap,LONG,uncovered,-7.329598506069089,214.2,198.5,198.5,3950908.0,54.37487622824999,2023-05-08 09:25:00,09:25,3.3845629692077637,0.3056708872318268,2023-05-08 09:30:00,213.64999389648438,198.00375,1.4673326015472412,213.92499694824218,214.2,True,2023-05-08 09:30:00,214.06468103802393,t2,15.646243896484378,63,26.125289916991647,14.322152888430448,11.8031370285612,2023-05
2023-10-09,NSE:ABFRL,ABFRL,mid_cap,LONG,uncovered,-1.7351612108483163,219.0,215.1999969482422,214.10000610351562,105946.0,52.839266973250005,2023-10-09 09:15:00,09:15,1.0476073026657104,0.4879196286201477,2023-10-09 09:20:00,216.0,213.56475608825684,0.5126659870147705,217.5,219.0,False,2023-10-09 10:15:00,215.6999969482422,time_stop,2.4352439117431572,410,-123.00125122070312,78.58679942239166,-201.5880506430948,2023-10
2023-11-10,NSE:ABFRL,ABFRL,mid_cap,LONG,uncovered,-3.1395348837209305,215.0,208.25,208.25,556993.0,62.518434533749996,2023-11-10 09:20:00,09:20,0.6842063069343567,0.44874680042266846,2023-11-10 09:25:00,212.5500030517578,207.729375,0.7786657810211182,213.7750015258789,215.0,True,2023-11-10 10:00:00,213.159543355306,breakeven_trail,4.820628051757808,207,126.17484283447266,46.84237292683616,79.3324699076365,2023-11
2024-02-14,NSE:ABFRL,ABFRL,mid_cap,LONG,uncovered,-1.8907101169683693,240.65,236.10000610351562,236.10000610351562,167916.0,145.66350061574997,2024-02-14 09:25:00,09:25,3.20001220703125,0.10460250824689865,2024-02-14 09:30:00,239.3000030517578,235.50975608825684,1.093332290649414,239.9750015258789,240.65,True,2024-02-14 09:35:00,240.31378403000053,t2,3.7902469635009766,263,266.6243972778313,67.06004509198637,199.56435218584494,2024-02
