variant,recalc_date,regime,quarter,session_date,T1_entry_date,symbol,bare_symbol,cap_segment,side,entry_ts,entry_price,day_high_so_far,hard_sl,t1_target,t2_target,stop_distance,hit_t1,exit_ts,exit_price,exit_reason,qty,realized_pnl,fee,net_pnl,lane,exit_date,pct_drift
intraday,2024-10-01,pre_rule,Q3_2024,2024-10-03,2024-10-03,NSE:SOBHA,SOBHA,mid_cap,SHORT,2024-10-03 09:30:00,1847.55,1855.7,1866.0255,1829.0745,1810.599,18.47550000000001,True,2024-10-03 10:45:00,1819.8367500000002,t1_partial+t2_full,54,1496.5155000000009,105.40366816160699,1391.111831838394,primary,,
intraday,2025-01-01,pre_rule,Q4_2024,2025-01-02,2025-01-02,NSE:SIGNATURE,SIGNATURE,mid_cap,SHORT,2025-01-02 09:30:00,1352.05,1362.0,1368.81,1338.5294999999999,1325.009,16.75999999999999,False,2025-01-02 10:40:00,1368.81,stop,59,-988.8399999999995,75.57034406044,-1064.4103440604395,primary,,
intraday,2025-01-01,pre_rule,Q4_2024,2025-01-02,2025-01-02,NSE:CASTROLIND,CASTROLIND,mid_cap,SHORT,2025-01-02 09:30:00,201.7,204.64,204.72549999999998,199.683,197.666,3.025499999999994,False,2025-01-02 15:10:00,203.2,time_stop,330,-495.0,70.812601502,-565.812601502,primary,,
intraday,2025-01-01,pre_rule,Q4_2024,2025-01-02,2025-01-02,NSE:MGL,MGL,mid_cap,SHORT,2025-01-02 09:30:00,1287.65,1298.7,1305.1934999999999,1274.7735,1261.8970000000002,17.543499999999767,False,2025-01-02 12:20:00,1305.1934999999999,stop,57,-999.9794999999867,73.30920391077699,-1073.2887039107636,primary,,
intraday,2025-01-01,pre_rule,Q4_2024,2025-01-02,2025-01-02,NSE:SOBHA,SOBHA,mid_cap,SHORT,2025-01-02 09:30:00,1563.75,1580.95,1587.20625,1548.1125,1532.475,23.456249999999955,True,2025-01-02 15:10:00,1547.90625,t1_partial+time_stop,42,665.4375,69.522415774875,595.915084225125,primary,,
intraday,2025-04-01,pre_rule,Q1_2025,2025-04-02,2025-04-02,NSE:SIGNATURE,SIGNATURE,mid_cap,SHORT,2025-04-02 09:30:00,1079.25,1082.5,1090.0425,1068.4575,1057.665,10.792500000000018,False,2025-04-02 09:55:00,1090.0425,stop,92,-992.9100000000017,82.49656638345998,-1075.4065663834617,primary,,
intraday,2025-04-01,pre_rule,Q1_2025,2025-04-02,2025-04-02,NSE:CASTROLIND,CASTROLIND,mid_cap,SHORT,2025-04-02 09:30:00,200.83,208.4,203.84244999999999,198.82170000000002,196.8134,3.0124499999999728,False,2025-04-02 15:10:00,202.43,time_stop,331,-529.5999999999981,70.75378453836001,-600.3537845383581,primary,,
intraday,2025-04-01,pre_rule,Q1_2025,2025-04-02,2025-04-02,NSE:MGL,MGL,mid_cap,SHORT,2025-04-02 09:30:00,1386.4,1390.0,1400.2640000000001,1372.536,1358.672,13.864000000000033,True,2025-04-02 11:25:00,1379.4679999999998,t1_partial+be_trail,72,499.1040000000012,105.88041866937598,393.22358133062517,primary,,
intraday,2025-04-01,pre_rule,Q1_2025,2025-04-02,2025-04-02,NSE:SOBHA,SOBHA,mid_cap,SHORT,2025-04-02 09:30:00,1184.5,1200.9,1202.2675,1172.655,1160.81,17.767499999999927,False,2025-04-02 12:20:00,1202.2675,stop,56,-994.9799999999959,70.68398520588,-1065.6639852058759,primary,,
intraday,2025-07-01,pre_rule,Q2_2025,2025-07-02,2025-07-02,NSE:SIGNATURE,SIGNATURE,mid_cap,SHORT,2025-07-02 09:30:00,1258.5,1259.3,1271.085,1245.915,1233.33,12.585000000000036,True,2025-07-02 12:15:00,1252.2871518987342,t1_partial+be_trail,79,490.8150000000014,105.45953087210998,385.3554691278914,primary,,
intraday,2025-07-01,pre_rule,Q2_2025,2025-07-02,2025-07-02,NSE:CASTROLIND,CASTROLIND,mid_cap,SHORT,2025-07-02 09:30:00,223.74,225.7,226.82849999999996,221.5026,219.2652,3.0884999999999536,True,2025-07-02 12:15:00,222.6247634674923,t1_partial+be_trail,323,360.22140000000127,76.65551941295159,283.56588058704966,primary,,
intraday,2025-07-01,pre_rule,Q2_2025,2025-07-02,2025-07-02,NSE:MGL,MGL,mid_cap,SHORT,2025-07-02 09:30:00,1500.4,1501.8,1515.404,1485.3960000000002,1470.392,15.003999999999905,False,2025-07-02 13:05:00,1515.404,stop,66,-990.2639999999938,82.402504771984,-1072.6665047719778,primary,,
intraday,2025-07-01,pre_rule,Q2_2025,2025-07-02,2025-07-02,NSE:SOBHA,SOBHA,mid_cap,SHORT,2025-07-02 09:30:00,1496.3,1509.0,1516.5449999999998,1481.337,1466.374,20.24499999999989,True,2025-07-02 15:10:00,1484.2262857142857,t1_partial+time_stop,49,591.611999999998,77.67468533792798,513.9373146620701,primary,,
intraday,2025-10-01,rule_launch,Q3_2025,2025-10-03,2025-10-03,NSE:SIGNATURE,SIGNATURE,mid_cap,SHORT,2025-10-03 09:30:00,1051.4,1052.9,1061.9140000000002,1040.886,1030.372,10.514000000000124,False,2025-10-03 15:10:00,1054.6,time_stop,95,-303.9999999999827,82.66017842000001,-386.66017841998274,primary,,
intraday,2025-10-01,rule_launch,Q3_2025,2025-10-03,2025-10-03,NSE:CASTROLIND,CASTROLIND,mid_cap,SHORT,2025-10-03 09:30:00,201.5,201.74,203.51500000000001,199.48499999999999,197.47,2.015000000000015,False,2025-10-03 15:10:00,202.55,time_stop,496,-520.8000000000056,82.69643557280001,-603.4964355728057,primary,,
intraday,2025-10-01,rule_launch,Q3_2025,2025-10-03,2025-10-03,NSE:MGL,MGL,mid_cap,SHORT,2025-10-03 09:30:00,1284.4,1289.4,1297.2440000000001,1271.556,1258.712,12.844000000000051,False,2025-10-03 15:10:00,1283.6,time_stop,77,61.600000000014006,82.28632881600001,-20.686328815986002,primary,,
