cell,circular_date,effective_date,session_date,T1_entry_date,gap_days,is_post_oct_1_2025,symbol,bare_symbol,cap_segment,adv_t30_rupees,vol_30d_avg_5m,vol_window_avg_5m,vol_ratio,side,entry_ts,entry_price,entry_open,day_high_so_far,hard_sl,t1_target,t2_target,stop_distance,hit_t1,exit_ts,exit_price,exit_reason,qty,realized_pnl,fee,net_pnl,multi_day_net,multi_day_pct,circular_ref
A,2024-12-20,2025-02-28,2024-12-20,2024-12-20,70,False,NSE:COROMANDEL,COROMANDEL,large_cap,842597665.6416665,6288.718666666667,10747.0,1.7089331817249895,SHORT,2024-12-20 09:30:00,1840.2,1845.05,1854.3,1863.5714999999998,1821.798,1803.396,23.37149999999974,True,2024-12-20 11:05:00,1830.9990000000003,t1_partial+be_trail,42,386.4420000000009,81.98019000334801,304.4618099966529,-1282.2042445258,-1.5382969046790929,FAOP65702
A,2024-12-20,2025-02-28,2024-12-20,2024-12-20,70,False,NSE:INDIAMART,INDIAMART,mid_cap,500788209.8450001,2848.203111111111,7506.0,2.6353457626383388,SHORT,2024-12-20 09:30:00,2355.0,2366.0,2373.0,2384.865,2331.45,2307.9,29.86499999999978,True,2024-12-20 12:10:00,2319.318181818182,t1_partial+t2_full,33,1177.5000000000014,82.100229015,1095.3997709850014,2770.017528527594,3.7993653032440067,FAOP65702
A,2024-12-20,2025-02-28,2024-12-20,2024-12-20,70,False,NSE:IPCALAB,IPCALAB,large_cap,836734559.9183333,7224.577333333334,17669.5,2.4457486140365674,SHORT,2024-12-20 09:30:00,1588.6,1591.9,1607.95,1612.4289999999999,1572.714,1556.828,23.82899999999995,False,2024-12-20 11:05:00,1612.4289999999999,stop,41,-976.988999999998,69.63541789773399,-1046.624417897732,-3118.322245551306,-4.470970263688034,FAOP65702
A,2025-01-22,2025-03-28,2025-01-22,2025-01-22,65,False,NSE:JKCEMENT,JKCEMENT,large_cap,417642872.9116667,1198.3182222222222,3258.75,2.7194362395297706,SHORT,2025-01-22 09:30:00,4562.35,4564.05,4629.9,4630.78525,4516.726500000001,4471.103,68.43524999999954,True,2025-01-22 14:10:00,4539.5382500000005,t1_partial+be_trail,14,319.36449999999786,67.750302478313,251.61419752168484,-4667.483831004597,-6.715670237997873,FAOP66251
A,2025-05-22,2025-08-01,2025-05-22,2025-05-22,71,False,NSE:BSOFT,BSOFT,mid_cap,770546127.105,25991.21688888889,42056.5,1.6181043073046317,SHORT,2025-05-22 09:30:00,420.35,422.9,423.7,425.8185,416.1465,411.94300000000004,5.468499999999949,False,2025-05-22 15:10:00,421.55,time_stop,182,-218.39999999999793,74.35915227480001,-292.75915227479794,-147.14933796119584,-0.09506833036244666,FAOP68113
A,2025-05-22,2025-08-01,2025-05-22,2025-05-22,71,False,NSE:HINDCOPPER,HINDCOPPER,large_cap,1130942942.4243333,69564.29955555555,188861.0,2.7149126952564444,SHORT,2025-05-22 09:30:00,225.55,226.99,229.4,228.93325,223.2945,221.03900000000002,3.3832499999999754,False,2025-05-22 12:00:00,228.93325,stop,295,-998.0587499999928,70.8296763951025,-1068.8884263950952,-7673.424831769894,-10.253859621200057,FAOP68113
A,2025-05-22,2025-08-01,2025-05-22,2025-05-22,71,False,NSE:BALKRISIND,BALKRISIND,large_cap,739295932.3883334,3869.2271111111113,7774.75,2.0093806273799615,SHORT,2025-05-22 09:30:00,2664.3,2670.6,2687.7,2701.1384999999996,2637.657,2611.014,36.838499999999385,True,2025-05-22 15:10:00,2642.5533703703704,t1_partial+time_stop,27,587.1590000000042,76.207117987646,510.95188201235817,4687.697067787405,7.086012861736335,
A,2025-05-22,2025-08-01,2025-05-22,2025-05-22,71,False,NSE:CHAMBLFERT,CHAMBLFERT,mid_cap,1555965749.87,31062.378666666667,55238.5,1.7783087571228715,SHORT,2025-05-22 09:30:00,601.0,603.85,604.79,607.8139499999999,594.99,588.98,6.813949999999863,True,2025-05-22 13:00:00,591.985,t1_partial+t2_full,146,1316.189999999998,92.70285138885997,1223.487148611138,2119.1147774517935,2.568478539124497,
A,2025-06-23,2025-08-29,2025-06-23,2025-06-23,67,False,NSE:ATGL,ATGL,large_cap,764874811.5683333,15336.612,71634.25,4.67080017411929,SHORT,2025-06-23 09:30:00,622.7,625.85,628.0,631.14,616.4730000000001,610.246,8.43999999999994,False,2025-06-23 14:50:00,631.14,stop,118,-995.919999999993,73.33822000672,-1069.258220006713,-6333.593043842594,-7.850536440991485,FAOP68685
A,2025-06-23,2025-08-29,2025-06-23,2025-06-23,67,False,NSE:GRANULES,GRANULES,mid_cap,587309428.325,15382.445333333333,51948.5,3.377128855282134,SHORT,2025-06-23 09:30:00,487.85,488.8,489.35,492.72850000000005,482.9715,478.093,4.878500000000031,False,2025-06-23 10:30:00,492.72850000000005,stop,204,-995.2140000000063,82.578470371684,-1077.7924703716903,-1602.4138306155978,-1.5041389057137033,FAOP68685
