T0_signal_date,T1_entry_date,symbol,buy_value_cr,n_clients,cap_segment,entry_price,exit_price,exit_reason,stop_distance,qty,realized_pnl,fee,net_pnl
2024-07-01,2024-07-02,NSE:ADSL,49.33233494699999,5,small_cap,218.84,222.05,eod,10.545000000000002,94,301.74000000000075,22.056600985959992,279.68339901404073
2024-07-01,2024-07-02,NSE:ATULAUTO,65.28282239800001,4,small_cap,762.65,803.55,eod,14.625,68,2781.1999999999985,56.901521249599995,2724.2984787503983
2024-07-01,2024-07-02,NSE:EPACK,13.667644891000002,1,small_cap,265.61,264.27,eod,9.58499999999998,104,-139.3600000000033,29.269137173119997,-168.6291371731233
2024-07-01,2024-07-02,NSE:INDIACEM,38.469684795000006,1,mid_cap,284.2,284.75,eod,2.924999999999983,341,187.55000000000388,81.63951450169999,105.91048549830388
2024-07-01,2024-07-02,NSE:NAVKARCORP,10.785107376,1,small_cap,109.6,115.25,eod,0.7349999999999923,1360,7684.000000000007,102.29528517600001,7581.704714824007
2024-07-01,2024-07-02,NSE:ORIENTCEM,46.628577959999994,1,small_cap,314.0,304.17499999999995,stop,9.825000000000017,101,-992.3250000000046,33.06953655904999,-1025.3945365590546
2024-07-01,2024-07-02,NSE:RELIGARE,120.695,1,mid_cap,259.27,253.94500000000005,stop,5.324999999999932,187,-995.7749999999872,50.89013891423,-1046.6651389142173
2024-07-01,2024-07-02,NSE:ROTO,21.153735907999998,2,small_cap,109.25,108.45,eod,5.7749999999999915,173,-138.39999999999952,19.998641912599997,-158.39864191259952
2024-07-01,2024-07-02,NSE:STANLEY,22.760889108,1,small_cap,501.2,497.375,stop,3.825000000000017,261,-998.3249999999971,93.32716852345,-1091.652168523447
2024-07-02,2024-07-03,NSE:ACI,48.743133216,1,mid_cap,726.15,727.4,eod,8.849999999999966,112,140.0,76.0966710256,63.9033289744
2024-07-02,2024-07-03,NSE:ADSL,66.48923403399999,4,small_cap,225.49,230.86,eod,8.04000000000002,124,665.8800000000006,30.1441306844,635.7358693156006
2024-07-02,2024-07-03,NSE:ATULAUTO,88.79994129800001,4,small_cap,795.9,778.95,stop,16.949999999999932,58,-983.099999999996,48.431173867800005,-1031.531173867796
2024-07-02,2024-07-03,NSE:DCXINDIA,139.652749272,3,small_cap,441.95,442.0,eod,8.024999999999949,124,6.20000000000141,58.2479873788,-52.04798737879859
2024-07-02,2024-07-03,NSE:EPL,37.1070147,1,mid_cap,218.84,216.99499999999998,stop,1.8450000000000273,542,-999.9900000000148,88.99730235342,-1088.9873023534349
2024-07-02,2024-07-03,NSE:GMBREW,20.740102110000002,2,small_cap,838.2,934.5,eod,33.30000000000007,30,2888.9999999999986,28.578492485999995,2860.4215075139987
2024-07-02,2024-07-03,NSE:IOLCP,18.129611034,1,small_cap,86.15,86.85,eod,0.9000000000000128,1111,777.6999999999873,81.38351241800001,696.3164875819873
2024-07-02,2024-07-03,NSE:JAICORPLTD,43.940595872,1,small_cap,414.45,407.7,stop,6.75,148,-999.0,64.5506355492,-1063.5506355492
2024-07-02,2024-07-03,NSE:JKPAPER,299.58910019,4,mid_cap,613.25,604.6999999999999,stop,8.550000000000068,116,-991.8000000000079,72.1552119732,-1063.955211973208
2024-07-02,2024-07-03,NSE:PDMJEPAPER,15.105961831999998,2,small_cap,131.0,127.23500000000001,stop,3.7649999999999864,265,-997.7249999999964,36.255571778649994,-1033.9805717786464
2024-07-02,2024-07-03,NSE:PGIL,42.19445268,1,mid_cap,739.75,733.1500000000001,stop,6.599999999999966,151,-996.5999999999863,86.54686990739998,-1083.1468699073862
2024-07-02,2024-07-03,NSE:POCL,46.381402645,6,small_cap,481.3,468.1,eod,15.599999999999966,64,-844.7999999999993,32.19615080959999,-876.9961508095993
2024-07-02,2024-07-03,NSE:REFEX,38.412305385,2,small_cap,207.71,213.62,eod,4.079999999999998,245,1447.9499999999991,55.0141105451,1392.935889454899
2024-07-02,2024-07-03,NSE:ROTO,17.608196004,1,small_cap,106.8,116.5,eod,1.3499999999999872,740,7178.000000000002,77.304502252,7100.695497748002
2024-07-02,2024-07-03,NSE:VERANDA,10.8272,1,small_cap,267.66,258.135,stop,9.525000000000034,104,-990.6000000000035,28.94973824808,-1019.5497382480836
2024-07-02,2024-07-03,NSE:WHEELS,12.149409210000002,1,small_cap,885.15,867.6000000000001,stop,17.549999999999898,56,-982.7999999999911,52.05151652399999,-1034.851516523991
2024-07-02,2024-07-03,NSE:WSTCSTPAPR,30.631335978000003,1,small_cap,726.5,718.9,eod,15.074999999999932,66,-501.6000000000015,50.639043338399986,-552.2390433384015
2024-07-03,2024-07-04,NSE:CASTROLIND,206.053591512,1,mid_cap,246.7,242.12499999999997,stop,4.575000000000017,218,-997.3500000000038,56.51896077309999,-1053.8689607731037
2024-07-03,2024-07-04,NSE:DCXINDIA,33.36042753,1,small_cap,437.8,442.6,eod,7.725000000000051,129,619.2000000000014,60.42074166959999,558.7792583304014
2024-07-03,2024-07-04,NSE:DLINKINDIA,117.07083140099999,8,small_cap,539.75,537.5,eod,6.675000000000068,149,-335.25,75.6386039115,-410.8886039115
2024-07-03,2024-07-04,NSE:GMBREW,132.202132431,8,small_cap,891.8,892.95,eod,16.5,60,69.00000000000546,56.91320151,12.086798490005457
2024-07-03,2024-07-04,NSE:GPPL,76.60453874400001,1,mid_cap,232.58,228.32,stop,4.260000000000005,234,-996.8400000000045,57.2028035436,-1054.0428035436044
2024-07-03,2024-07-04,NSE:HINDOILEXP,16.424522296,1,small_cap,214.17,212.265,stop,1.9050000000000153,524,-998.2200000000006,86.73191066764,-1084.9519106676405
2024-07-03,2024-07-04,NSE:REFEX,17.167922175,1,small_cap,211.1,207.44,stop,3.6599999999999966,273,-999.179999999999,60.609294356519996,-1059.7892943565191
2024-07-03,2024-07-04,NSE:ROTO,12.692597939999999,1,small_cap,117.1,117.95,eod,5.625,177,150.45000000000152,22.125085013100005,128.32491498690152
2024-07-03,2024-07-04,NSE:RPTECH,16.835970944,1,small_cap,369.75,401.85,eod,5.25,190,6099.000000000005,73.879319224,6025.1206807760045
2024-07-04,2024-07-05,NSE:AGI,35.885282759999996,1,mid_cap,877.0,920.3,eod,16.574999999999932,60,2597.9999999999973,57.59154022800001,2540.408459771997
2024-07-04,2024-07-05,NSE:CASTROLIND,126.97837428599999,1,mid_cap,253.75,254.55,eod,8.925000000000026,112,89.60000000000127,30.262587017599998,59.337412982401275
2024-07-04,2024-07-05,NSE:GMBREW,10.412509848000001,1,small_cap,877.6,902.3,eod,31.050000000000068,32,790.3999999999978,30.354129260799994,760.0458707391979
2024-07-04,2024-07-05,NSE:GREAVESCOT,28.222918506,1,small_cap,160.85,158.405,stop,2.444999999999993,408,-997.5599999999972,69.10910959224,-1066.6691095922372
2024-07-04,2024-07-05,NSE:INOXWIND,114.00637284000001,1,large_cap,161.85,157.89000000000001,stop,3.9599999999999795,252,-997.9199999999948,42.70799091888,-1040.6279909188747
2024-07-04,2024-07-05,NSE:NBCC,165.852257298,1,large_cap,129.25,124.56999999999996,stop,4.680000000000028,213,-996.8400000000075,28.620100905959994,-1025.4601009059675
2024-07-04,2024-07-05,NSE:NELCO,31.777008412,2,small_cap,877.25,902.4,eod,24.675000000000068,40,1005.9999999999991,37.93932751599999,968.060672483999
2024-07-04,2024-07-05,NSE:RPTECH,23.485241824,1,small_cap,399.4,408.25,eod,8.099999999999966,123,1088.550000000003,52.91011737569999,1035.639882624303
2024-07-04,2024-07-05,NSE:SKIPPER,25.987830561000003,1,mid_cap,385.3,384.8,eod,10.125,98,-49.0,40.099714538799994,-89.09971453879999
