T0_signal_date,T1_entry_date,symbol,cap_segment,side,side_total_cr,total_qty,t0_volume,vol_ratio_pct,client_names,t0_close,t1_first_open,gap_pct,entry_ts,entry_price,hard_sl,stop_distance,t1_target,t2_target,hit_t1,t1_exit_price,t1_exit_ts,exit_ts,exit_price,exit_reason,qty,realized_pnl,fee,net_pnl
2024-01-25,2024-01-29,NSE:CAMPUS,mid_cap,SHORT,35.844,1332243,320004,416.32073349083134,SOCIETE GENERALE,268.1,269.2,0.41029466616933075,2024-01-29 09:25:00,269.05,273.08574999999996,4.03574999999995,265.01425000000006,260.9785000000001,False,,,2024-01-29 10:40:00,273.08574999999996,stop,247,-996.8302499999877,70.7715418840315,-1067.6017918840191
2024-02-21,2024-02-22,NSE:CAMPUS,mid_cap,SHORT,99.5925,4065000,24492043,16.597227107595717,QRG INVESTMENTS AND HOLDINGS LIMITED,253.0,256.4,1.3438735177865535,2024-02-22 09:25:00,263.8,267.757,3.9569999999999936,259.843,255.88600000000002,True,259.843,2024-02-22 09:30:00,2024-02-22 10:35:00,257.8645,t2,252,1495.7459999999976,70.02287467232401,1425.7231253276736
2024-04-23,2024-04-24,NSE:CAMPUS,mid_cap,SHORT,17.2148,737249,635654,115.98275162273816,MARSHALL WACE INVESTMENT STRATEGIES - EUREKA FUND,236.8,239.0,0.929054054054057,2024-04-24 09:25:00,240.45,244.05674999999997,3.606749999999977,236.84325,233.23650000000004,False,,,2024-04-24 09:35:00,244.05674999999997,stop,277,-999.0697499999935,70.87751847136849,-1069.947268471362
2024-01-25,2024-01-29,NSE:CAMS,mid_cap,SHORT,22.8085,83459,372535,22.402995691679976,SOCIETE GENERALE,548.6,543.0,-1.0207801676995976,2024-01-29 09:25:00,547.1,555.3064999999999,8.206499999999892,538.8935000000001,530.6870000000002,False,,,2024-01-29 14:30:00,547.4,time_stop,121,-36.2999999999945,70.372494907,-106.6724949069945
2024-09-23,2024-09-24,NSE:CAPACITE,small_cap,SHORT,14.85,375000,899583,41.685981171276026,RAHUL RAMNATH KATYAL,394.6,395.25,0.164723770907238,2024-09-24 09:25:00,407.85,413.96774999999997,6.117749999999944,401.7322500000001,395.61450000000013,True,401.7322500000001,2024-09-24 09:50:00,2024-09-24 10:00:00,404.8098911042946,breakeven_trail,163,495.53774999999547,70.4464409135235,425.09130908647194
2024-09-25,2024-09-26,NSE:CAPACITE,small_cap,SHORT,14.85,375000,2609759,14.369142897869114,RAHUL RAMNATH KATYAL,400.3,401.35,0.26230327254559427,2024-09-26 09:25:00,397.8,403.767,5.9669999999999845,391.833,385.86600000000004,False,,,2024-09-26 10:45:00,403.767,stop,167,-996.4889999999974,70.75539340873401,-1067.2443934087314
2024-09-27,2024-09-30,NSE:CAPACITE,small_cap,SHORT,11.5011,283000,2137101,13.24223796629172,RAHUL RAMNATH KATYAL,396.0,398.8,0.7070707070707005,2024-09-30 09:25:00,401.3,407.31949999999995,6.019499999999937,395.2805000000001,389.26100000000014,False,,,2024-09-30 14:30:00,395.8,time_stop,166,913.0,70.41532795159998,842.5846720484001
2023-06-22,2023-06-23,NSE:CRAFTSMAN,mid_cap,SHORT,316.8,800000,33975,2354.6725533480503,SRINIVASAN  MURALI,3985.0,4099.0,2.860727728983692,2023-06-23 09:25:00,4045.0,4105.674999999999,60.67499999999927,3984.3250000000007,3923.6500000000015,True,3984.3250000000007,2023-06-23 13:30:00,2023-06-23 14:30:00,4001.0875000000005,time_stop,16,702.5999999999949,68.48911278439999,634.1108872155949
2024-06-27,2024-06-28,NSE:CSBBANK,mid_cap,SHORT,595.0415,16868645,2549999,661.5157496140195,FIH MAURITIUS INVESTMENTS LTD,365.0,368.9,1.068493150684935,2024-06-28 09:25:00,371.85,377.42775,5.5777499999999804,366.27225000000004,360.69450000000006,False,,,2024-06-28 09:30:00,377.42775,stop,179,-998.4172499999966,70.84664116695349,-1069.26389116695
2024-09-03,2024-09-04,NSE:CYIENTDLM,small_cap,SHORT,19.023,259753,172151,150.88672154097276,MORGAN STANLEY ASIA (SINGAPORE) PTE. - ODI,726.5,722.0,-0.619408121128695,2024-09-04 09:25:00,726.65,737.5497499999999,10.899749999999926,715.75025,704.8505000000001,False,,,2024-09-04 14:30:00,723.3,time_stop,91,304.85000000000207,70.1501373027,234.69986269730208
