T0_signal_date,symbol,cap_segment,side,side_total_cr,total_qty,t0_volume,vol_ratio_pct,client_names,entry_hhmm,entry_ts,entry_price,hard_sl,stop_distance,t1_target,t2_target,hit_t1,t1_exit_price,t1_exit_ts,exit_ts,exit_price,exit_reason,qty,realized_pnl,fee,net_pnl
2023-10-25,NSE:ABFRL,mid_cap,SHORT,206.8283,9733098,3012517,323.0885668031085,GRIFFIN GROWTH FUND VCC,15:05,2023-10-25 15:05:00,212.0,213.05999999999997,1.0599999999999739,211.364,210.94,False,,,2023-10-25 15:25:00,211.6,time_stop,943,377.2000000000054,118.1071702488,259.0928297512054
2024-08-07,NSE:ADFFOODS,small_cap,SHORT,84.59,3845000,195910,1962.6359042417437,INFINITY HOLDINGS,15:05,2024-08-07 15:05:00,220.23,221.33114999999998,1.1011499999999899,219.56931,219.12885,False,,,2024-08-07 15:10:00,221.33114999999998,stop,908,-999.8441999999908,118.2187395562252,-1118.062939556216
2024-08-20,NSE:ADFFOODS,small_cap,SHORT,100.1044,4400000,1206518,364.68581488216506,INFINITY HOLDINGS,15:05,2024-08-20 15:05:00,234.85,236.02424999999997,1.1742499999999723,234.14544999999998,233.67575,True,234.14544999999998,2024-08-20 15:10:00,2024-08-20 15:10:00,233.9103240305523,t2,851,799.6642500000053,165.25788389976452,634.4063661002408
2024-08-28,NSE:ADFFOODS,small_cap,SHORT,47.2516,1755000,1263035,138.95101877620178,INFINITY HOLDINGS,15:05,2024-08-28 15:05:00,266.2,267.53099999999995,1.3309999999999604,265.40139999999997,264.86899999999997,True,265.40139999999997,2024-08-28 15:10:00,2024-08-28 15:10:00,265.13484553928095,t2,751,799.9310000000146,165.27874660541403,634.6522533946006
2024-06-19,NSE:ADVENZYMES,small_cap,SHORT,425.5499,11053245,312344,3538.8049714417434,ORBIMED ASIA III MAURITIUS LIMITED,15:05,2024-06-19 15:05:00,379.25,381.14624999999995,1.8962499999999523,378.11225,377.35375,True,378.11225,2024-06-19 15:10:00,2024-06-19 15:15:00,377.7322803605313,t2,527,799.8382499999979,165.26049777992048,634.5777522200774
2023-11-10,NSE:APTUS,mid_cap,SHORT,213.4114,7435937,2074306,358.478305515194,PEAK XV PARTNERS INVESTMENTS VI,15:05,2023-11-10 15:05:00,299.15,300.64574999999996,1.4957499999999868,298.25255,297.65425,False,,,2023-11-10 15:15:00,300.64574999999996,stop,668,-999.1609999999912,118.17021199276601,-1117.3312119927573
2024-02-28,NSE:APTUS,mid_cap,SHORT,105.2843,3205000,163236,1963.41493298047,STEADVIEW CAPITAL OPPORTUNITIES PCC,15:05,2024-02-28 15:05:00,330.75,332.40374999999995,1.6537499999999454,329.75775,329.09625,True,329.75775,2024-02-28 15:10:00,2024-02-28 15:15:00,329.427,t2,604,799.0920000000045,165.22799408064802,633.8640059193565
2024-09-11,NSE:ARVINDFASN,mid_cap,SHORT,323.2381,5623000,5646784,99.57880450181908,MULTIPLES PRIVATE EQUITY FUND II LLP / PLENTY CI FUND I LIMITED / PLENTY PRIVATE EQUITY FUND I LIMITED,15:05,2024-09-11 15:05:00,584.05,586.9702499999999,2.9202499999998963,582.2978499999999,581.12975,False,,,2024-09-11 15:25:00,585.0,time_stop,342,-324.90000000001555,118.09385863059998,-442.99385863061553
2024-08-14,NSE:ASHAPURMIN,mid_cap,SHORT,117.9035,3467750,279914,1238.8626506712776,LTS INVESTMENT FUND LTD,15:05,2024-08-14 15:05:00,343.15,344.86574999999993,1.7157499999999573,342.12055,341.43424999999996,False,,,2024-08-14 15:15:00,344.86574999999993,stop,582,-998.5664999999751,118.12798477309899,-1116.694484773074
2024-12-11,NSE:AWFIS,small_cap,SHORT,415.7459,5856401,2698618,217.0148201783283,BISQUE LIMITED / PEAK XV PARTNERS INVESTMENTS V,15:05,2024-12-11 15:05:00,772.35,776.2117499999999,3.8617499999999154,770.03295,768.48825,False,,,2024-12-11 15:10:00,776.2117499999999,stop,258,-996.3314999999782,117.969233156689,-1114.300733156667
