T0_signal_date,symbol,cap_segment,side,side_total_cr,total_qty,t0_volume,vol_ratio_pct,client_names,entry_hhmm,entry_ts,entry_price,hard_sl,stop_distance,t1_target,t2_target,hit_t1,t1_exit_price,t1_exit_ts,exit_ts,exit_price,exit_reason,qty,realized_pnl,fee,net_pnl
2024-06-20,NSE:RATEGAIN,mid_cap,SHORT,160.6935,2156960,1833736,117.62652857336062,AVATAAR HOLDINGS,14:30,2024-06-20 14:30:00,776.15,780.0307499999999,3.880749999999921,773.82155,772.2692499999999,True,773.82155,2024-06-20 14:45:00,2024-06-20 15:15:00,774.9903050583657,breakeven_trail,257,298.04159999999683,165.15445499451036,132.88714500548647
2024-12-04,NSE:RATNAMANI,mid_cap,SHORT,261.7975,785000,309164,253.91054585915563,NALANDA INDIA FUND LIMITED,14:30,2024-12-04 14:30:00,3320.0,3336.5999999999995,16.599999999999454,3310.04,3303.4,True,3310.04,2024-12-04 14:40:00,2024-12-04 14:45:00,3306.7200000000003,t2,60,796.7999999999984,165.02484129919998,631.7751587007983
2023-09-15,NSE:RBA,small_cap,SHORT,1494.0121,125441820,57132038,219.56475629313275,QSR ASIA PTE LTD,14:30,2023-09-15 14:30:00,130.8,131.454,0.6539999999999964,130.4076,130.14600000000002,True,130.4076,2023-09-15 14:40:00,2023-09-15 14:55:00,130.60392831916286,breakeven_trail,1529,299.793600000007,165.3397793909984,134.45382060900863
2024-09-18,NSE:RBA,small_cap,SHORT,112.8351,10746200,5349382,200.8867566384304,QSR ASIA PTE LTD,14:30,2024-09-18 14:30:00,107.22,107.75609999999999,0.5360999999999905,106.89834,106.6839,False,,,2024-09-18 14:55:00,107.75609999999999,stop,1865,-999.8264999999823,118.21748232865897,-1118.0439823286413
2024-09-03,NSE:RBLBANK,mid_cap,SHORT,21.1405,928070,2316804,40.05820086636591,MORGAN STANLEY ASIA (SINGAPORE) PTE. - ODI,14:30,2024-09-03 14:30:00,225.99,227.11995,1.1299499999999796,225.31203000000002,224.86005,False,,,2024-09-03 15:25:00,225.99,time_stop,884,0.0,118.08262406992,-118.08262406992
2024-11-14,NSE:RKFORGE,mid_cap,SHORT,18.456,200000,134725,148.4505474113936,SOCIETE GENERALE - ODI,14:30,2024-11-14 14:30:00,935.9,940.5794999999998,4.679499999999848,933.0923,931.2205,False,,,2024-11-14 14:35:00,940.5794999999998,stop,213,-996.7334999999676,117.997787138701,-1114.7312871386687
2024-06-11,NSE:RRKABEL,mid_cap,SHORT,10.15,58000,60407,96.01536245799328,KIRTIDEVI SHREEGOPAL KABRA,14:30,2024-06-11 14:30:00,1749.2,1757.946,8.745999999999867,1743.9524000000001,1740.454,True,1743.9524000000001,2024-06-11 14:40:00,2024-06-11 15:00:00,1742.2032,t2,114,797.6352000000009,165.0988697473088,632.5363302526921
2024-03-27,NSE:SAMHI,small_cap,SHORT,209.6811,10173756,1070646,950.2446186694762,BLUE CHANDRA PTE. LTD,14:30,2024-03-27 14:30:00,208.4,209.44199999999998,1.0419999999999732,207.7748,207.358,False,,,2024-03-27 14:45:00,209.44199999999998,stop,959,-999.2779999999743,118.17852248006797,-1117.4565224800424
2024-04-23,NSE:SAMHI,small_cap,SHORT,15.4188,797045,1159514,68.73957537382041,MARSHALL WACE INVESTMENT STRATEGIES - EUREKA FUND,14:30,2024-04-23 14:30:00,194.85,195.82424999999998,0.9742499999999836,194.26545,193.87574999999998,True,194.26545,2024-04-23 14:55:00,2024-04-23 15:05:00,194.07059999999998,t2,1026,799.6644000000099,165.2787290946536,634.3856709053563
2023-06-22,NSE:SANSERA,mid_cap,SHORT,622.3483,7453272,1179714,631.7863482166016,CLIENT EBENE LIMITED / CVCIGP II EMPLOYEE EBENE LIMITED,14:30,2023-06-22 14:30:00,867.25,871.58625,4.33624999999995,864.64825,862.91375,False,,,2023-06-22 14:35:00,871.58625,stop,230,-997.3374999999885,118.04068914152501,-1115.3781891415135
2024-06-19,NSE:SANSERA,mid_cap,SHORT,750.3926,6253272,1476418,423.54346804224815,CLIENT EBENE LIMITED / CVCIGP II EMPLOYEE EBENE LIMITED,14:30,2024-06-19 14:30:00,1273.95,1280.3197499999999,6.36974999999984,1270.12815,1267.58025,True,1270.12815,2024-06-19 15:05:00,2024-06-19 15:10:00,1272.0390750000001,breakeven_trail,156,298.10430000000315,164.89389457595422,133.21040542404893
2023-06-27,NSE:SAPPHIRE,mid_cap,SHORT,417.2909,3030215,2998815,101.0470802633707,WWD RUBY LIMITED,14:30,2023-06-27 14:30:00,281.15,282.55574999999993,1.405749999999955,280.30654999999996,279.74424999999997,False,,,2023-06-27 14:45:00,282.55574999999993,stop,711,-999.488249999968,118.19345649677948,-1117.6817064967474
2024-07-30,NSE:SARDAEN,mid_cap,SHORT,41.85,1500000,339140,442.2952173143835,FORTUNE COURIERS LTD,14:30,2024-07-30 14:30:00,277.93,279.31964999999997,1.3896499999999605,277.09621,276.54035,False,,,2024-07-30 14:40:00,279.31964999999997,stop,719,-999.1583499999716,118.17002376378011,-1117.3283737637516
2024-09-27,NSE:SBCL,small_cap,SHORT,632.1379999999999,10352735,318248,3253.0400819486686,AMAR ENGINEERING COMPANY PRIVATE LIMITED / ANGAD ESTATES PVT LTD / B. S. SANDHU & ASSOCIATES (P) LTD. / ULTRA PORTFOLIO MANAGEMENT PRIVATE LIMITED,14:30,2024-09-27 14:30:00,626.05,629.1802499999999,3.1302499999999327,624.17185,622.9197499999999,True,624.17185,2024-09-27 14:50:00,2024-09-27 14:55:00,623.543837460815,t2,319,799.4658500000082,165.20559798431492,634.2602520156934
