dims,k,cell,n,pf,wr,net,sharpe,n_months,win_mo_pct,lose_mo_pct,top_mo_pct
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Jan | entry_hour_bucket=15:00,168,0.3797427931345297,29.166666666666668,-35371.39753979479,-0.8136570757828496,2,0.0,100.0,52.2
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Jul | entry_hour_bucket=09:00,6334,0.8395065056903596,50.86832964951058,-524224.04356173595,-0.38802150299758703,2,0.0,100.0,62.6
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Jul | entry_hour_bucket=10:00,6639,0.7373293439470859,48.01928001205001,-955039.6509840828,-1.4766187075667223,2,0.0,100.0,64.5
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Jul | entry_hour_bucket=11:00,3200,0.6893257923394005,46.625,-545424.5211928306,-1.3643275102078072,2,0.0,100.0,51.4
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Jul | entry_hour_bucket=12:00,1838,0.6335566161029641,45.37540805223069,-366147.72872768133,-1.5051392010028604,2,0.0,100.0,50.7
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Jul | entry_hour_bucket=13:00,1087,0.5834922285411605,41.766329346826126,-242009.7028372608,-0.9269446584372636,2,0.0,100.0,54.5
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Jul | entry_hour_bucket=14:00,796,0.5514902811987759,38.69346733668342,-157614.81368790675,-1.0084900802209076,2,0.0,100.0,70.3
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Jul | entry_hour_bucket=15:00,175,0.37939788550633824,29.714285714285715,-31576.78914012609,-0.728707806140056,2,0.0,100.0,51.7
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Jun | entry_hour_bucket=09:00,5241,0.7012938713444428,46.74680404502957,-873978.4367581254,-1.19819095988892,2,0.0,100.0,52.8
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Jun | entry_hour_bucket=10:00,5935,0.7897587044083757,48.91322662173547,-669486.3003231916,-0.5269379807692007,2,0.0,100.0,68.7
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Jun | entry_hour_bucket=11:00,2907,0.7360124525635214,47.918816649466805,-414387.3764128278,-0.9260043495278745,2,0.0,100.0,57.3
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Jun | entry_hour_bucket=12:00,1651,0.6459731131631293,44.57904300423986,-318163.2105437942,-1.0639595082328601,2,0.0,100.0,61.1
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Jun | entry_hour_bucket=13:00,1051,0.5216354853762877,41.864890580399624,-272171.16950810625,-1.4756755425866956,2,0.0,100.0,52.8
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Jun | entry_hour_bucket=14:00,782,0.6026030637104031,39.25831202046036,-134939.32472341412,-0.7626854209239536,2,0.0,100.0,62.9
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Jun | entry_hour_bucket=15:00,152,0.42034031275332334,28.947368421052634,-28809.04291756237,-0.542365254083797,2,0.0,100.0,61.5
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Mar | entry_hour_bucket=09:00,5137,0.9545219484568499,53.202258127311666,-115379.28921372246,-0.10644031133378744,2,50.0,50.0,156.4
