dims,k,cell,n,pf,wr,net,sharpe,n_months,win_mo_pct,lose_mo_pct,top_mo_pct
"tod_bucket,rsi_severity,month",3,tod_bucket=mid | rsi_severity=deep | month=Sep,1082,1.2698234145452278,53.881700554528656,86723.80066588476,0.1530669172484976,2,50.0,50.0,126.0
"cap_segment,rsi_severity_fine,month",3,cap_segment=mid_cap | rsi_severity_fine=L15-20 | month=May,241,1.2690414961434708,55.18672199170125,18832.33291804148,0.14212592997615078,1,100.0,0.0,100.0
"rsi_severity_fine,R_size_bucket,dow",3,rsi_severity_fine=S85+ | R_size_bucket=2-3% | dow=Thu,342,1.2684469720748606,56.4327485380117,28287.035976160507,0.25600462176562094,13,69.2,30.8,23.8
"cap_segment,R_size_bucket,dow",3,cap_segment=small_cap | R_size_bucket=3%+ | dow=Tue,632,1.2681488025195267,55.06329113924051,39563.14483048211,0.21034907007496487,13,76.9,23.1,56.9
"tod_bucket,dow,month",3,tod_bucket=afternoon | dow=Tue | month=Apr,119,1.2670877777576122,50.42016806722689,6339.2459081916295,0.31402152676676204,1,100.0,0.0,100.0
"tod_bucket,dow,month",3,tod_bucket=morning | dow=Mon | month=Jun,1097,1.2665134222459558,56.79124886052871,95694.86850022164,0.22302691253641488,1,100.0,0.0,100.0
"cap_segment,R_size_bucket,month",3,cap_segment=mid_cap | R_size_bucket=3%+ | month=Jun,125,1.2664329927392355,55.2,6326.612399987443,0.24294291964552012,1,100.0,0.0,100.0
"cap_segment,dow,month",3,cap_segment=mid_cap | dow=Thu | month=Nov,388,1.2660172836963852,57.98969072164949,32682.292609867513,0.45019700033697896,1,100.0,0.0,100.0
"cap_segment,R_size_bucket,dow",3,cap_segment=mid_cap | R_size_bucket=3%+ | dow=Mon,536,1.2656506227248585,59.70149253731343,27966.149047074607,0.07786793413314176,13,46.2,53.8,173.1
"tod_bucket,dow,month",3,tod_bucket=morning | dow=Thu | month=Jan,992,1.2649601931075893,56.95564516129033,91042.71048830874,0.27401777328027177,1,100.0,0.0,100.0
"cap_segment,rsi_severity_fine,dow",3,cap_segment=small_cap | rsi_severity_fine=S75-80 | dow=Thu,1841,1.2637388423971694,57.4687669744704,160565.41085608702,0.22437070530609915,13,69.2,30.8,29.9
"R_size_bucket,dow",2,R_size_bucket=3%+ | dow=Tue,1084,1.2634585211277307,55.442804428044276,65053.196758353966,0.2185449253342882,13,84.6,15.4,44.8
"R_size_bucket,dow,confirmation_lag_min",3,R_size_bucket=3%+ | dow=Tue | confirmation_lag_min=<=15,1084,1.2634585211277307,55.442804428044276,65053.196758353966,0.2185449253342882,13,84.6,15.4,44.8
"rsi_severity_fine,R_size_bucket",2,rsi_severity_fine=S80-85 | R_size_bucket=3%+,1125,1.2592919414391217,58.84444444444444,65907.32862216182,0.1811572915650679,13,76.9,23.1,27.1
"direction,rsi_severity_fine,R_size_bucket",3,direction=short | rsi_severity_fine=S80-85 | R_size_bucket=3%+,1125,1.2592919414391217,58.84444444444444,65907.32862216182,0.1811572915650679,13,76.9,23.1,27.1
