T0_signal_date,symbol,cap_segment,side,side_total_cr,total_qty,t0_volume,vol_ratio_pct,client_names,entry_hhmm,entry_ts,entry_price,hard_sl,stop_distance,t1_target,t2_target,hit_t1,t1_exit_price,t1_exit_ts,exit_ts,exit_price,exit_reason,qty,realized_pnl,fee,net_pnl
2023-10-25,NSE:ABFRL,mid_cap,SHORT,206.8283,9733098,3012517,323.0885668031085,GRIFFIN GROWTH FUND VCC,14:00,2023-10-25 14:00:00,213.9,214.96949999999998,1.0694999999999766,213.2583,212.8305,False,,,2023-10-25 14:15:00,214.96949999999998,stop,935,-999.9824999999781,118.228562978395,-1118.211062978373
2024-08-07,NSE:ADFFOODS,small_cap,SHORT,84.59,3845000,195910,1962.6359042417437,INFINITY HOLDINGS,14:00,2024-08-07 14:00:00,221.3,222.4065,1.1064999999999827,220.6361,220.1935,True,220.6361,2024-08-07 15:05:00,2024-08-07 15:10:00,220.96841760797344,breakeven_trail,903,299.4189000000056,165.2832830964266,134.13561690357898
2024-08-20,NSE:ADFFOODS,small_cap,SHORT,100.1044,4400000,1206518,364.68581488216506,INFINITY HOLDINGS,14:00,2024-08-20 14:00:00,231.41,232.56704999999997,1.1570499999999697,230.71577,230.25295,False,,,2024-08-20 14:25:00,232.56704999999997,stop,864,-999.6911999999738,118.20787199590718,-1117.899071995881
2024-08-28,NSE:ADFFOODS,small_cap,SHORT,47.2516,1755000,1263035,138.95101877620178,INFINITY HOLDINGS,14:00,2024-08-28 14:00:00,271.0,272.35499999999996,1.3549999999999613,270.187,269.645,True,270.187,2024-08-28 14:10:00,2024-08-28 14:15:00,269.916,t2,738,799.9920000000023,165.307766115248,634.6842338847543
2024-06-19,NSE:ADVENZYMES,small_cap,SHORT,425.5499,11053245,312344,3538.8049714417434,ORBIMED ASIA III MAURITIUS LIMITED,14:00,2024-06-19 14:00:00,380.95,382.85474999999997,1.9047499999999786,379.80715,379.04525,False,,,2024-06-19 14:05:00,382.85474999999997,stop,525,-999.9937499999887,118.2293620637125,-1118.2231120637011
2023-11-10,NSE:APTUS,mid_cap,SHORT,213.4114,7435937,2074306,358.478305515194,PEAK XV PARTNERS INVESTMENTS VI,14:00,2023-11-10 14:00:00,297.95,299.43974999999995,1.4897499999999582,297.05615,296.46025,True,297.05615,2023-11-10 14:10:00,2023-11-10 14:15:00,296.75775596125186,t2,671,799.9957500000005,165.2816694398755,634.714080560125
2024-02-28,NSE:APTUS,mid_cap,SHORT,105.2843,3205000,163236,1963.41493298047,STEADVIEW CAPITAL OPPORTUNITIES PCC,14:00,2024-02-28 14:00:00,329.2,330.84599999999995,1.6459999999999582,328.2124,327.554,False,,,2024-02-28 14:10:00,330.84599999999995,stop,607,-999.1219999999746,118.167441830332,-1117.2894418303067
2024-09-11,NSE:ARVINDFASN,mid_cap,SHORT,323.2381,5623000,5646784,99.57880450181908,MULTIPLES PRIVATE EQUITY FUND II LLP / PLENTY CI FUND I LIMITED / PLENTY PRIVATE EQUITY FUND I LIMITED,14:00,2024-09-11 14:00:00,583.2,586.116,2.91599999999994,581.4504000000001,580.284,True,581.4504000000001,2024-09-11 14:30:00,2024-09-11 14:35:00,582.3252,breakeven_trail,342,299.18159999999773,165.1486479378704,134.03295206212732
2024-08-14,NSE:ASHAPURMIN,mid_cap,SHORT,117.9035,3467750,279914,1238.8626506712776,LTS INVESTMENT FUND LTD,14:00,2024-08-14 14:00:00,340.85,342.55424999999997,1.704249999999945,339.82745,339.14575,False,,,2024-08-14 14:15:00,342.55424999999997,stop,586,-998.6904999999678,118.136792469043,-1116.8272924690107
2024-12-11,NSE:AWFIS,small_cap,SHORT,415.7459,5856401,2698618,217.0148201783283,BISQUE LIMITED / PEAK XV PARTNERS INVESTMENTS V,14:00,2024-12-11 14:00:00,759.0,762.795,3.794999999999959,756.723,755.205,False,,,2024-12-11 14:05:00,762.795,stop,263,-998.0849999999892,118.09378392151,-1116.1787839214992
