T0_signal_date,T1_entry_date,symbol,cap_segment,t0_pct_change,t0_vol_ratio_20d,t0_close,t1_open,t1_high,gap_pct,entry_price,hard_sl,t1_target,t2_target,exit_price,exit_reason,stop_distance,qty,realized_pnl,fee,net_pnl
2024-02-01,2024-02-02,NSE:HUBTOWN,small_cap,5.000000000000004,3.5274118797833673,149.1,155.8,156.55,4.49362843729042,153.75,157.33275,155.8,149.1,149.1,t2_full_gap_fill,3.5827500000000043,279,1297.3500000000015,45.04393818090001,1252.3060618191014
2024-06-26,2024-06-27,NSE:HUBTOWN,small_cap,4.99695307739183,2.472399513909539,155.07,162.82,162.82,4.997742954794604,162.82,164.44819999999999,162.82,155.07,162.82,eod,1.6281999999999925,614,0.0,82.67108076176001,-82.67108076176001
2024-07-30,2024-07-31,NSE:HUBTOWN,small_cap,4.996976764273997,7.16500239145111,243.11,249.39,255.26,2.5831927933857024,249.78,256.5363,249.39,243.11,243.11,t2_full_gap_fill,6.756299999999982,148,987.1599999999981,38.87344369432,948.2865563056781
2024-08-05,2024-08-06,NSE:HUBTOWN,small_cap,4.999816587799422,2.141652775018215,286.24,298.0,298.0,4.1084404695360455,288.0,299.48999999999995,298.0,286.24,286.24,t2_full_gap_fill,11.489999999999952,87,153.1199999999992,26.565291785279996,126.55470821471921
2024-09-17,2024-09-18,NSE:HUBTOWN,small_cap,4.944209311273573,2.195292329665098,272.75,286.25,286.35,4.949587534372135,283.35,287.78175,286.25,272.75,279.95,eod,4.431749999999965,225,765.0000000000077,67.435874955,697.5641250450077
2024-09-23,2024-09-24,NSE:HUBTOWN,small_cap,4.9840734495034456,1.5747688481871613,280.15,284.95,291.3,1.7133678386578755,285.15,292.75649999999996,284.95,280.15,284.0,eod,7.606499999999983,131,150.64999999999702,39.63748546189999,111.01251453809704
2024-09-25,2024-09-26,NSE:HUBTOWN,small_cap,4.99382389271219,2.4320009116605044,297.5,312.35,312.35,4.991596638655471,312.35,315.4735,312.35,297.5,312.35,eod,3.1234999999999786,320,0.0,82.664169024,-82.664169024
2024-10-16,2024-10-17,NSE:HUBTOWN,small_cap,4.982072089073397,1.56774534044275,278.15,282.9,282.9,1.7077116663670733,267.65,284.31449999999995,282.9,278.15,278.15,t2_full_gap_fill,16.664499999999975,60,-630.0,17.333183687999995,-647.333183688
2024-12-04,2024-12-05,NSE:HUBTOWN,small_cap,4.984813292835444,2.290762798769425,293.8,308.45,308.45,4.986385296119811,308.45,311.5345,308.45,293.8,308.45,eod,3.0844999999999914,324,0.0,82.6591306936,-82.6591306936
2024-06-12,2024-06-13,NSE:ICEMAKE,small_cap,19.99582114500629,2.9415188417937945,861.45,885.1,945.9,2.7453711765047295,853.9,950.6294999999999,885.1,861.45,861.45,t2_full_gap_fill,96.72949999999992,10,-75.50000000000068,9.107167820999999,-84.60716782100069
