T0_signal_date,symbol,cap_segment,side,side_total_cr,total_qty,t0_volume,vol_ratio_pct,client_names,entry_hhmm,entry_ts,entry_price,hard_sl,stop_distance,t1_target,t2_target,hit_t1,t1_exit_price,t1_exit_ts,exit_ts,exit_price,exit_reason,qty,realized_pnl,fee,net_pnl
2023-10-25,NSE:ABFRL,mid_cap,SHORT,206.8283,9733098,3012517,323.0885668031085,GRIFFIN GROWTH FUND VCC,15:10,2023-10-25 15:10:00,212.0,213.05999999999997,1.0599999999999739,211.364,210.94,False,,,2023-10-25 15:25:00,211.6,time_stop,943,377.2000000000054,118.1071702488,259.0928297512054
2024-08-07,NSE:ADFFOODS,small_cap,SHORT,84.59,3845000,195910,1962.6359042417437,INFINITY HOLDINGS,15:10,2024-08-07 15:10:00,221.4,222.50699999999998,1.106999999999971,220.7358,220.293,True,220.7358,2024-08-07 15:15:00,2024-08-07 15:20:00,220.51415481727574,t2,903,799.9181999999969,165.28158596421082,634.6366140357861
2024-08-20,NSE:ADFFOODS,small_cap,SHORT,100.1044,4400000,1206518,364.68581488216506,INFINITY HOLDINGS,15:10,2024-08-20 15:10:00,234.12,235.29059999999998,1.170599999999979,233.41764,232.9494,True,233.41764,2024-08-20 15:15:00,2024-08-20 15:15:00,233.18352,t2,854,799.7539200000026,165.28666375302848,634.4672562469741
2024-08-28,NSE:ADFFOODS,small_cap,SHORT,47.2516,1755000,1263035,138.95101877620178,INFINITY HOLDINGS,15:10,2024-08-28 15:10:00,264.1,265.4205,1.3204999999999814,263.3077,262.77950000000004,True,263.3077,2024-08-28 15:15:00,2024-08-28 15:15:00,263.0432511228534,t2,757,799.9588999999974,165.28140581478658,634.6774941852108
2024-06-19,NSE:ADVENZYMES,small_cap,SHORT,425.5499,11053245,312344,3538.8049714417434,ORBIMED ASIA III MAURITIUS LIMITED,15:10,2024-06-19 15:10:00,378.3,380.19149999999996,1.8914999999999509,377.1651,376.4085,False,,,2024-06-19 15:20:00,380.19149999999996,stop,528,-998.7119999999741,118.13831960987198,-1116.850319609846
2023-11-10,NSE:APTUS,mid_cap,SHORT,213.4114,7435937,2074306,358.478305515194,PEAK XV PARTNERS INVESTMENTS VI,15:10,2023-11-10 15:10:00,300.05,301.55025,1.500249999999994,299.14985,298.54975,False,,,2023-11-10 15:15:00,301.55025,stop,666,-999.1664999999961,118.17060265669899,-1117.3371026566952
2024-02-28,NSE:APTUS,mid_cap,SHORT,105.2843,3205000,163236,1963.41493298047,STEADVIEW CAPITAL OPPORTUNITIES PCC,15:10,2024-02-28 15:10:00,330.05,331.70025,1.6502499999999714,329.05985,328.39975,True,329.05985,2024-02-28 15:15:00,2024-02-28 15:25:00,328.8295449586777,time_stop,605,738.3753000000052,165.19917793752822,573.1761220624769
2024-09-11,NSE:ARVINDFASN,mid_cap,SHORT,323.2381,5623000,5646784,99.57880450181908,MULTIPLES PRIVATE EQUITY FUND II LLP / PLENTY CI FUND I LIMITED / PLENTY PRIVATE EQUITY FUND I LIMITED,15:10,2024-09-11 15:10:00,584.0,586.92,2.919999999999959,582.248,581.08,False,,,2024-09-11 15:25:00,585.0,time_stop,342,-342.0,118.08894398800001,-460.088943988
2024-08-14,NSE:ASHAPURMIN,mid_cap,SHORT,117.9035,3467750,279914,1238.8626506712776,LTS INVESTMENT FUND LTD,15:10,2024-08-14 15:10:00,343.7,345.41849999999994,1.718499999999949,342.6689,341.9815,True,342.6689,2024-08-14 15:20:00,2024-08-14 15:25:00,343.18533734939757,breakeven_trail,581,299.01899999999443,165.232146161686,133.78685383830845
2024-12-11,NSE:AWFIS,small_cap,SHORT,415.7459,5856401,2698618,217.0148201783283,BISQUE LIMITED / PEAK XV PARTNERS INVESTMENTS V,15:10,2024-12-11 15:10:00,773.6,777.468,3.867999999999938,771.2792000000001,769.732,False,,,2024-12-11 15:15:00,777.468,stop,258,-997.943999999984,118.08376871886401,-1116.0277687188482
2023-11-23,NSE:BAJAJELEC,mid_cap,SHORT,47.1523,471052,59325,794.0193847450485,RISHAB FAMILY TRUST,15:10,2023-11-23 15:10:00,1001.2,1006.2059999999999,5.005999999999858,998.1964,996.1940000000001,False,,,2023-11-23 15:25:00,1002.0,time_stop,199,-159.19999999999095,117.90304814080002,-277.103048140791
2024-04-23,NSE:BIKAJI,mid_cap,SHORT,12.6748,246568,64590,381.743303917015,MARSHALL WACE INVESTMENT STRATEGIES - EUREKA FUND,15:10,2024-04-23 15:10:00,520.9,523.5044999999999,2.6044999999999163,519.3373,518.2955,False,,,2024-04-23 15:25:00,519.7,time_stop,383,459.5999999999739,117.9556818188,341.64431818117384
2024-03-07,NSE:BSOFT,mid_cap,SHORT,15.6546,203544,1362870,14.934953443835436,SEB FUND 3 SEB PENSION FUND,15:10,2024-03-07 15:10:00,773.65,777.5182499999999,3.8682499999998754,771.3290499999999,769.78175,True,771.3290499999999,2024-03-07 15:20:00,2024-03-07 15:25:00,771.1645249999999,time_stop,258,641.2525500000021,165.1778541110147,476.0746958889874
2024-01-25,NSE:CAMPUS,mid_cap,SHORT,35.844,1332243,320004,416.32073349083134,SOCIETE GENERALE,15:10,2024-01-25 15:10:00,267.1,268.4355,1.3354999999999677,266.2987,265.7645,False,,,2024-01-25 15:25:00,268.4355,stop,748,-998.9539999999758,118.155508822924,-1117.1095088229
2024-02-21,NSE:CAMPUS,mid_cap,SHORT,99.5925,4065000,24492043,16.597227107595717,QRG INVESTMENTS AND HOLDINGS LIMITED,15:10,2024-02-21 15:10:00,252.5,253.76249999999996,1.2624999999999602,251.7425,251.2375,True,251.7425,2024-02-21 15:15:00,2024-02-21 15:15:00,251.49,t2,792,799.9199999999928,165.30138435248,634.6186156475128
2024-04-23,NSE:CAMPUS,mid_cap,SHORT,17.2148,737249,635654,115.98275162273816,MARSHALL WACE INVESTMENT STRATEGIES - EUREKA FUND,15:10,2024-04-23 15:10:00,236.3,237.48149999999998,1.1814999999999714,235.5911,235.1185,False,,,2024-04-23 15:25:00,236.8,time_stop,846,-423.0,118.1589086956,-541.1589086956
2024-01-25,NSE:CAMS,mid_cap,SHORT,22.8085,83459,372535,22.402995691679976,SOCIETE GENERALE,15:10,2024-01-25 15:10:00,549.3,552.0464999999999,2.746499999999969,547.6520999999999,546.5535,True,547.6520999999999,2024-01-25 15:25:00,2024-01-25 15:25:00,548.12605,time_stop,364,427.3177999999966,165.3141525187732,262.0036474812234
2024-09-23,NSE:CAPACITE,small_cap,SHORT,14.85,375000,899583,41.685981171276026,RAHUL RAMNATH KATYAL,15:10,2024-09-23 15:10:00,396.0,397.97999999999996,1.9799999999999613,394.812,394.02,True,394.812,2024-09-23 15:20:00,2024-09-23 15:20:00,394.4152158415842,t2,505,800.3160000000016,165.30135765970397,635.0146423402977
2024-09-25,NSE:CAPACITE,small_cap,SHORT,14.85,375000,2609759,14.369142897869114,RAHUL RAMNATH KATYAL,15:10,2024-09-25 15:10:00,400.95,402.95474999999993,2.0047499999999445,399.74715,398.94525,True,399.74715,2024-09-25 15:15:00,2024-09-25 15:20:00,400.34857500000004,breakeven_trail,498,299.50965000000303,165.2262232097321,134.28342679027094
2024-09-27,NSE:CAPACITE,small_cap,SHORT,11.5011,283000,2137101,13.24223796629172,RAHUL RAMNATH KATYAL,15:10,2024-09-27 15:10:00,400.55,402.55274999999995,2.002749999999935,399.34835,398.54725,True,399.34835,2024-09-27 15:20:00,2024-09-27 15:20:00,398.94699729458915,t2,499,799.8983500000052,165.26393540521985,634.6344145947853
2023-06-22,NSE:CRAFTSMAN,mid_cap,SHORT,316.8,800000,33975,2354.6725533480503,SRINIVASAN  MURALI,15:10,2023-06-22 15:10:00,3989.85,4009.7992499999996,19.949249999999665,3977.88045,3969.90075,True,3977.88045,2023-06-22 15:20:00,2023-06-22 15:25:00,3983.8652249999996,breakeven_trail,50,299.238749999995,165.16216242281752,134.07658757717746
